Calculator,TI-BASIC,Native code,Lua
<br />TI-73  TI-73 Explorer,[null],[null],[added]
<br />TI-80,[null],[null],[added]
<br />TI-81,[null],Only using exploits,[added]
<br />TI-82,[null],Only using exploits,[added]
<br /> TI-83,[null],[null],[added]
<br /> TI-83 Plus,[null],[null],[added]
<br /> TI-83 Plus Silver Edition,[null],[null],[added]
<br />TI-84 Plus,[null],[null],[added]
<br />TI-84 Plus Silver Edition,[null],[null],[added]
<br />TI-84 Plus C Silver Edition,[null],[null],[added]
<br />TI-84 Plus CE,[null],[null],[added]
<br />TI-85,[null],Only using exploits,[added]
<br />TI-86,[null],[null],[added]
<br />TI-89,[null],[null],[added]
<br /> TI-89 Titanium,[null],[null],[added]
<br /> TI-92  TI-92 II,[null],Only using exploits,[added]
<br /> TI-92 Plus,[null],[null],[added]
<br /> Voyage 200,[null],[null],[added]
<br /> TI-Nspire  TI-Nspire CAS,[null],Only using exploits,[added]
<br /> TI-Nspire CX  TI-Nspire CX CAS,[null],Only using exploits,[added]
<br /> TI-Nspire CX II  TI- Nspire CX CAS II,[null],Only using exploits,[null]
[added],[added],[added],[added]
