Features,Prius,Prius,Prius,Prius,Camry,Highlander,Highlander
Release date,December 1997 (Japan) 2000 (worldwide),August 2003,May 2009 (Japan) June 2009 (US),December 2015,May 2006,July 2005,September 2007
US model year,2001–2003,2004–2009,2010–2015,2016–,2007–,2005–2007,2008–
Base price,[null],[null],[null],[null],[null],[null],[null]
EPA-estimated city fuel economy,[null],[null],[null],[null],[null],(2WD) (4WD-i),[null]
EPA-estimated highway fuel economy,[null],[null],[null],[null],[null],(2WD) (4WD-i),[null]
EPA-estimated drivers fuel economy,[null],[null],[null],[null],[null],[null],[null]
Engine,1.5 L 1NZ-FXE I4 Atkinson cycle,1.5 L 1NZ-FXE I4 Atkinson cycle,1.8 L 2ZR-FXE I4 Atkinson cycle,1.8 L 2ZR-FXE I4 Redesigned Atkinson cycle,2.4 L 2AZ-FXE I4 Atkinson cycle,3.3 L 3MZ-FE V6,3.3 L 3MZ-FE V6
0–60 mph (97 km/h) acceleration,12.6 s,10.8 s,10.0 s,9.6 s,7.3 s (R&T  5/06),6.6 s (Motor Trend),n/a
Engine output,70 hp (52 kW) / 82 lb·ft (110 Nm),76 hp (57 kW) / 85 lb·ft (115 Nm),98 hp (73 kW) / 105 lb·ft (142 Nm),95 hp (71 kW) / 105 lb·ft (142 Nm),147 hp (108 kW) / 138 lb·ft (187 Nm),[null],156 kW (208 hp)
Electric motor output,44 hp (33 kW) / 259 lb·ft (350 Nm),68 hp (50 kW) / 295 lb·ft (400 Nm),80 hp (60 kW) / 153 lb·ft (207 Nm),71 hp (53 kW) / 120 lb·ft (163 Nm),45 hp (34 kW),[null],[null]
Net power,60 kW (80 hp),80 kW (107 hp),110 kW (134 hp),90 kW (121 hp),140 kW (187 hp),[null],201 kW (270 hp)
Traction battery power,[null],[null],[null],[null],[null],[null],[null]
Requires premium fuel (91 octane (R+M)/2 ),No,No,No,No,No,No (however  premium recommended),No
EPA/CARB emission certification,[null],Tier II Bin 3/AT-PZEV,Tier II Bin 3/SULEV,Tier II Bin 3/SULEV with AT-PZEV,Tier II Bin 3/AT-PZEV,Tier II Bin 3/AT-PZEV,Tier II Bin 3/SULEV
Smog forming emissions compared to average new vehicle,75% less,80% less,80% less,80% less,80% less,80% less,80% less
Maximum seating,5,5,5,5,5,7,7
