Client name,Development status,Open source client,End-to-end authentication<ref group=lower-alpha name="end-to-end-authentication">End-to-end authentication protects communications from man-in-the-middle attacks by the service provider.</ref>,Encryption protocols,Forward secrecy,Multiple encryption,Encrypted group calling,Proxy  Tor
ZRTP,ECDH,DTLS,SRTP,[added],[added],[added],[added],[added]
FaceTime,[null],<ref name="EFF"/>,<ref name="EFF"/>,[null],[null],[null],[null],<ref name="EFF"/>
Google Duo,[null],[null],[null],[null],[null],[null],[null],[null]
Jitsi<ref group=lower-alpha name="sip-encryption">Only if the user has registered with a compatible SIP provider. Some SIP providers do not support certain encryption protocols.</ref>,[null],[null],<ref name="EFF"/>,[null],[null],[null],[null],<ref name="EFF"/>
Line<ref name="Line-2016-08-10"></ref><ref name="Shin-2016-08-11"></ref>,[null],[null],[null],[null],[null],[null],[null],[null]
Linphone<ref group=lower-alpha name="sip-encryption"/>,[null],[null],[null],[null],[null],[null],[null],[null]
PGPfone,[null],<ref></ref>,[null],[null],[null],[null],[null],[null]
Signal,[null],[null],<ref name="EFF"/>,[null],[null],[null],[null],<ref name="EFF"/>
Silent Phone,[null],<ref></ref>,<ref name="EFF"/>,[null],[null],[null],[null],<ref name="EFF"></ref>
Telegram,[null],[null],<ref></ref>,[null],[null],[null],[null],[null]
Threema,[null],<ref group=lower-alpha name="encryption-open" /><ref></ref>,<ref name="threema-whitepaper"></ref>,[null],<ref name="threema-whitepaper" />,<ref name="threema-whitepaper" />,<ref name="threema-whitepaper" />,<ref group="lower-alpha" name="threema-forward-secrecy">Only on the network connection  not on the end-to-end layer.</ref><ref name="threema-whitepaper" />
Viber<ref name="Lunden-19-April-2016"></ref>,[null],[null],[null],[null],[null],[null],[null],[null]
WhatsApp,[null],<ref group=lower-alpha name="encryption-open">Only the encryption related source code is open.</ref><ref name="whatsapp-ows" />,<ref name="whatsapp-ows"></ref>,[null],<ref name="whatsapp-ows"/>,[null],<ref name="whatsapp-ows"/>,<ref name="whatsapp-ows"/>
Wire,[null],[null],<ref></ref>,[null],[null],<ref name="Wire Security Whitepaper"></ref>,<ref name="Wire Security Whitepaper"/>,[null]
Zfone,[null],<ref></ref>,[null],[null],<ref></ref>,[null],<ref></ref>,[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
