[null],Client (library),Server (library),Version compared,Protocol (spec) version support,Protocol test report,License,Implementation: language  environment,API: language  environment,Self-hosted server,Text message support,Binary message support,API message-based,API frame-based,API streaming input-output,Flow-control framework,Automatic pongs for pings,Automatic heartbeat pings,Manual pings-pongs,Frame size limit
Google Chrome 15<ref name="Chromium website">Chromium website</ref>,[null],[null],15.0.874.8,8 (10),[null],[null],C++  WebKit,JavaScript  HTML5,[null],[null],[null],[null],[null],, No,[null],[null],[null],[null],≥ 16 MB (memory-limited?)
Google Chrome 16<ref name="Chromium website"/>,[null],[null],16.0.912,13 (17/RFC 6455),[null],[null],C++  WebKit,JavaScript  HTML5,[null],[null],[null],[null],[null],, No,[null],[null],[null],[null],≥ 16 MB (memory-limited?)
Mozilla Firefox 7<ref name="Necko website">Necko website</ref>,[null],[null],7 beta,8 (10),[null],[null],C++  Necko,JavaScript  HTML5,[null],[null],[null],[null],[null],, No,[null],[null],[null],[null],< 16 MB
Mozilla Firefox 11<ref name="Necko website"/>,[null],[null],11.0,13 (17/RFC 6455),[null],[null],C++  Necko,JavaScript  HTML5,[null],[null],[null],[null],[null],, No,[null],[null],[null],[null],< 2 GB (memory-limited?)
Achex WS<ref>Achex WS website</ref>,[null],[null],2.17,RFC 6455,[null],[null],C++,C++  JavaScript,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],2^16
Kaazing WebSocket Gateway<ref>Kaazing website</ref>,[null],[null],5.0 Dec 2014,RFC 6455,[null],[null],Java  JMS,JavaScript  Flash/Flex  Silverlight  Objective-C & iOS  Java  Java & Android  .NET  Xamarin,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
Lightstreamer<ref>Lightstreamer website</ref>,[null],[null],7.0.3,RFC 6455,[null],[null],Java,JavaScript  Flash/Flex  Silverlight  iOS  macOS  tvOS  watchOS  Java  J2ME  Android  .NET Standard/.NET PCL/Unity,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Data driven  configurable
MigratoryData<ref>MigratoryData website</ref>,[null],[null],5.0.28,RFC 6455,[null],[null],Java,JavaScript  iOS  Android  Java  C++  .NET  PHP  Node.js  Python  Ruby,[null],[null],[null],[null],[null],, No,[null],[null],[null],[null],263  configurable
noPoll<ref>noPoll website</ref>,[null],[null],0.3.2,RFC 6455,[null],[null],ANSI C,ANSI C,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
POCO C++ Libraries<ref>POCO C++ Libraries documentation</ref>,[null],[null],1.4.6,RFC 6455,[null],[null],C++  POCO C++ Libraries,C++,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
PowerWebSockets<ref>PowerWebSockets website</ref>,[null],[null],15.176.5188,RFC 6455,Test report<ref>PowerWebSockets Autobahn|Testsuite report</ref>,[null],.NET,.NET Framework  .NET Compact Framework  Xamarin. iOS  Xamarin.Android  Windows Phone  Silverlight  Mono,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
Push Technology Diffusion<ref>Push Technology website</ref>,[null],[null],4.6.1,RFC 6455,[null],[null],Java,JavaScript  Flash/Flex  Silverlight  Objective-C & iOS  Java  Java & Android  .NET  Java J2ME & BlackBerry  C/C++  Node.js,[null],[null],[null],[null],[null],[null],[null],<ref name="ReferenceA">Pings and heartbeats are defined in the Diffusion protocol layer</ref>,<ref name="ReferenceA"/>,[null],memory-limited  configurable
QtWebSockets<ref>QtWebSockets website</ref>,[null],[null],1.0,RFC 6455,[null],[null],C++  Qt,Qt,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
RingSocket<ref>RingSocket (GitHub)</ref>,[null],[null],1.0,RFC 6455,[null],[null],C,C,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],unlimited/configurable
Resin<ref>Caucho website</ref>,[null],[null],4.026,RFC 6455,[null],[null],Java  C,Java,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
WebSocketListener<ref>WebSocketListener website</ref>,[null],[null],2.1.3,RFC 6455,[null],[null],.NET  Mono,.NET  Mono,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Configurable
Wt<ref>wt website</ref>,[null],[null],3.2.0,0.7.8.13 (17),[? Report],[null],C++  Boost Asio,C++,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
XSockets.NET<ref>XSockets.NET website</ref>,[null],[null],5.*,RFC 6455,[null],[null],.NET,Server-languages: Windows (.NET)  Unix-Linux (Mono)<br /> Client-languages: JavaScript  .NET  Mono,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
RIWA Gateway<ref>RIWA website</ref>,[null],[null],2.01,RFC 6455,[null],[null],Java,Java  Android  iOS  JavaScript,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
µWebSockets<ref name = "µWebSockets GitHub repository">µWebSockets (GitHub)</ref>,[null],[null],v0.14.0,RFC 6455,Testsuite report">µWebSockets Autobahn|Testsuite report</ref>,[null],C++  epoll  Libuv  Boost Asio,C++  JavaScript  Node.js,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],memory-limited  configurable
Boost.Beast<ref name = "Beast repository">Boost.Beast (GitHub)</ref>,[null],[null],94,RFC 6455,Testsuite report">Beast.WebSocket Autobahn|Testsuite report</ref>,[null],C++  Boost Asio,C++,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],unlimited (packets streamed to user code)  permessage-deflate also unlimited (chunked)
libwebsockets<ref name = "libwebsockets.org website">libwebsockets.org website</ref>,[null],[null],2.4,RFC 6455 + RFC 7692,Testsuite report">libwebsockets.org lws Autobahn|Testsuite report</ref>,[null],C  libuv  libev  libevent  poll  external poll loop integration  OpenSSL  mbedTLS,C  HTML5  JavaScript,[null],[null],[null],[null],[null],, yes,[null],[null],[null],[null],unlimited (packets streamed to user code)  permessage-deflate also unlimited (chunked)
websocket++<ref name = "websocketpp">websocket++ website</ref>,[null],[null],0.7.0,RFC 6455,[null],[null],C++11,C++11,?,?,?,?,?,?,?,?,?,?,?
facil.io<ref name = "facil.io website">facil.io website</ref>,[null],[null],0.7.1,RFC 6455,[null],[null],C,C,[null],[null],[null],[null],[null],, yes,[null],[null],[null],[null],configurable client to server limits. unlimited (chunked) server to client.
oatpp-websocket<ref name = "oatpp.io website">oatpp.io website</ref>,[null],[null],0.19.11,RFC 6455,[null],[null],C++11  Oat++,C++11  Oat++,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],unlimited (packets streamed to user code)
