Package,License,Windows,Mac OS,Linux,Market focus,GL,AR/AP,DEB,$£€¥,OB,POS,EC,SOCT,PR,ERP,CRM,BI,HRM,Manf.<br />/BOM,SCM,IM—,RM,D/WM,MU,Multi<br />Co,Tax,Other Features,Structure,Language
Adempiere,GPL,[null],[null],[null],Mid-market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SaaS  Project Management  CRM.,Web-based and Client-server.,Java on JBoss  GlassFish  PostgreSQL  Oracle.
Apache OFBiz,Apache License,[null],[null],[null],Small to mid-sized enterprises,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SaaS  Calendar  Webmail,Multi-User  Web Access  Cloud Hostable,Java
Compiere,GPL2  other proprietary,[null],[null],[null],Mid-market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],MES,Web-based,Java EE
Dolibarr,GPL,[null],[null],[null],Small to mid-sized enterprises,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SaaS,Web-based,PHP
GnuCash,GPL,[null],[null],[null],Personal and small enterprise,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],ltd,[null],Stand-alone,C  Scheme
GNU Enterprise,GPL,[null],[null],[null],Mid to high end market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Web-based + stand-alone,Python
iDempiere,GPL2,[null],[null],[null],Mid-market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SaaS  Calendar  Project Management,Web-based and Client-server,Java on Jetty  OSGi  PostgreSQL  Oracle
JFire,GPL,[null],[null],[null],All enterprises,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Web-based  Stand-alone,Java
LedgerSMB,GPL,[null],[null],[null],Mid-market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SaaS  Light Manufacturing  Multi-language (40) ,Web-based,Perl
Ledger (CLI),BSD,[null],[null],[null],Personal and small enterprise,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Can be used with git,Plain text file-based,C++
metasfresh,GPL2,[null],[null],[null],Mid-market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SaaS  On-Premise,Web-based  Client-server,Java on Tomcat  PostgreSQL
Odoo (CE),LGPL3,[null],[null],[null],All enterprises,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SaaS  On-Premise,Web-based,Python
Openbravo,MPL derivative with badgeware clause,[null],[null],[null],Mid-market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Project Management  Multi-language  Localized by country,Web-based  on-premises  Saas  On Demand,Java
SQL-Ledger,GPL,[null],[null],[null],Mid-market,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Web-based,Perl
Tryton,GPL,[null],[null],[null],Low to mid-market,[null],[null],[null],[null],<ref></ref>,[null],<ref></ref>,[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null],<ref></ref>,<ref></ref>,[null],[null],Thin client & Web-based client - Server,Python
