Birth control method,Brand/common name,Typical-use failure rate (%),Perfect-use failure rate (%),Type,Implementation,User action required
Contraceptive implant,Implanon <ref name=trussell2011/> Jadelle <ref></ref> the implant,(1 of 2000),[null],Progestogen,Subdermal implant,[null]
Vasectomy<ref name=trussell2011/>,male sterilization,(1 of 666),[null],Sterilization,Surgical procedure,[null]
Combined injectable<ref></ref>,Lunelle  Cyclofem,(1 of 500),[null],Estrogen + progestogen,Injection,[added]
IUD with progestogen<ref name=trussell2011/>,Mirena  Skyla  Liletta,(1 of 500),[null],Intrauterine & progestogen,Intrauterine,[null]
Essure<ref></ref>,female sterilization,(1 of 384),[null],Sterilization,Surgical procedure,[null]
Tubal ligation<ref name=trussell2011/>,female sterilization,(1 of 200),[null],Sterilization,Surgical procedure,[null]
IUD with copper<ref name=trussell2011/>,Paragard  Copper T  the coil,(1 of 125),[null],Intrauterine & copper,Intrauterine,[null]
Forschungsgruppe NFP symptothermal method  teaching sessions + application<ref name=trussell2011/><ref name=pmid17314078></ref>,Sensiplan by Arbeitsgruppe NFP (Malteser Germany gGmbh),(1 of 55),[null],Behavioral,Teaching sessions  observation  charting and evaluating a combination of fertility symptoms,[added]
LAM for 6 months only; not applicable if menstruation resumes<ref name=trussell2007/><ref group=note>The pregnancy rate applies until the user reaches six months postpartum  or until menstruation resumes  whichever comes first. If menstruation occurs earlier than six months postpartum  the method is no longer effective. For users for whom menstruation does not occur within the six months: after six months postpartum  the method becomes less effective.</ref>,ecological breastfeeding,(1 of 50),[null],Behavioral,Breastfeeding,[added]
</ref> cervical cap and spermicide (discontinued in 2008) used by nulliparous}}<ref name=lea/><ref name=lea group=note/><ref name=nulliparous group=note/>,Lea's Shield,(1 of 20),[null],Barrier + spermicide,Vaginal insertion,[added]
MPA shot<ref name=trussell2011/>,Depo Provera  the shot,(1 of 17),[null],Progestogen,Injection,[added]
<ref></ref>,Testosterone Undecanoate,(1 of 16),[null],Testosterone,Intramuscular Injection,[added]
1999 cervical cap and spermicide (replaced by second generation in 2003)<ref></ref>,FemCap,(estimated) (1 of 13),no data,Barrier & spermicide,Vaginal insertion,[added]
Contraceptive patch<ref name="trussell2011" />,Ortho Evra  the patch,(1 of 12),[null],Estrogen & progestogen,Transdermal patch,[added]
Combined oral contraceptive pill<ref name=trussell2011/>,the Pill,(1 of 11)<ref name="contraceptivetechnology.org"></ref>,[null],Estrogen & progestogen + Placebo<ref name=placebo>see Combined oral contraceptive pill § Role of Placebo Pills</ref>,Oral medication,[added]
Ethinylestradiol/etonogestrel vaginal ring<ref name=trussell2011/>,NuvaRing  the ring,(1 of 11),[null],Estrogen & progestogen,Vaginal insertion,[null]
Progestogen only pill<ref name=trussell2011/>,POP  minipill,<ref name="contraceptivetechnology.org"/>,[null],Progestogen<ref name=placebo/>,Oral medication,[added]
Ormeloxifene<ref> </ref>,Saheli  Centron,[null],[null],SERM,Oral medication,[added]
Emergency contraception pill,Plan B One-Step®,[null],[null],Levonorgestrel,Oral medication,[added]
Standard Days Method<ref name=trussell2011/>,CycleBeads  iCycleBeads,(1 of 8.3),[null],Behavioral,Counting days since menstruation,[added]
Diaphragm and spermicide<ref name=trussell2011/>,[null],(1 of 6),[null],Barrier & spermicide,Vaginal insertion,[added]
