Name,License,Can reside in,Can boot from,Can boot
ESP (UEFI),MBR,VBR,Floppy,Hard disk
Acronis OS Selector,[null],[null],[null],[null]
AiR-Boot,[null],[null],[null],[null]
AKernelLoader,[null],[null],[null],[null]
Barebox,[null],[null],[null],[null]
BootIt Bare Metal (formerly BootIt Next Generation),[null],[null],[null],[null]
BootKey,[null],[null],[null],[null]
BootManager,[null],[null],[null],[null]
BootX (Apple),[null],[null],[null],[null]
BootX (Linux),[null],[null],[null],[null]
Clover (fork of rEFIt),/BSD license,[null],[null],[null]
Darwin Boot Loader,[null],[null],[null],[null]
Das U-Boot,[null],[null],[null],[null]
GAG,+,[null],(SafeBoot),[null]
GRUB Legacy,+,[null],[null],[null]
GNU GRUB,[null],[null],[null],[null]
GRUB4DOS,+,[null],[null],[null]
Gujin http://gujin.sourceforge.net/,[null],[null],[null],[null]
systemd-boot / Gummiboot,[null],[null],[null],[null]
iBoot,[null],[null],[null],[null]
LILO,[null],[null],[null],[null]
loader(8),[null],[null],[null],[null]
loadlin,+,[null],[null],[null]
MasterBooter,[null],[null],[null],[null]
NTLDR,[null],[null],[null],[null]
OSL2000 Boot Manager,[null],[null],[null],[null]
PLoP Bootmanager,[null],[null],[null],[null]
RedBoot,mod +,[null],[null],[null]
rEFInd (fork of rEFIt),/BSD license,[null],[null],[null]
rEFIt (not maintained),/BSD license,[null],[null],[null]
Smart Boot Manager,+,[null],[null],[null]
SPFdisk,+,[null],[null],[null]
SYSLINUX,+,[null],[null],[null]
XOSL,[null],[null],[null],[null]
Windows Boot Manager,[null],[null],[null],[null]
FreeLoader (ReactOS Boot Loader),+,[null],[null],[null]
Name,Software license,Can reside in,Can boot from,Can boot
ESP (UEFI),MBR,VBR,Floppy,Hard disk
