Name,Advanced command,Scriptable,Supported architecture,Supported filesystem,Supported OS,Supported executable,Supported protocol,Supported decompression,Others
GRUB Legacy,[null],[null],x86 (PC),FAT16  FAT32  MINIX fs  Linux ext2  ext3  ext4  ReiserFS  JFS  XFS  VSTa fs  Btrfs,FreeBSD  NetBSD  OpenBSD  GNU/Linux,ELF,TFTP,gzip,[null]
GRUB 2,[null],[null],x86 (PC  UEFI  coreboot  OLPC  Mac)  IA-64  ARM (U-Boot  UEFI)  PowerPC (Mac  Pegasos II  IBM)  MIPS  SPARC (SPARC v9)  QEMU,ext2  ext3  ext4  btrfs  zfs  ufs  minix  iso9660  udf  jfs  hfs  hfs+  afs  affs  sfs  xfs  reiserfs  tar  cpio  NTFS  FAT16  FAT32,Linux (PC  mac)  FreeBSD (PC)  OpenBSD (PC)  NetBSD (PC),Multiboot and others,[null],gzip  xz<ref></ref>,[null]
LILO,[null],[null],x86 (PC),indifferent,[null],[null],[null],bzip2  gzip,[null]
loader(8),[null],[null],x86 (PC  UEFI  coreboot  OLPC  Mac)  ARM (U-Boot  UEFI)  MIPS  PowerPC  SPARC v9,FAT12/FAT16/FAT32/VFAT  ext2  NANDFS  ISO-9660  UFS  ZFS,FreeBSD,ELF,TFTP  NFS,gzip  bzip2,[null]
LOLO (Logic PD),[null],[null],ARM7  ARM9  ARM11  Cortex-A8  StrongARM  SH  ColdFire,FAT16  FAT32  YAFFS1  YAFFS2,Linux  WinCE,ELF  binary  BIN (WinCE)  SREC,TFTP,[null],Supported devices: MCF54xx  MCF5329  MCF5373  LLH7A400  LLH7A404  LLH79520  LLH79524  LSH7727  LSH7750  LSH7760  PXA270  PXA320  IMX31  IMX27  OMAP35xx  OMAP37xx
SYSLINUX,[null],[null],x86 (PC),ext2  ext3  ext4  btrfs  ufs 1/2  FAT16  FAT32  iso9660  udf  NTFS (since 4.06)  ?,GNU/Linux,Multiboot<ref></ref>,TFTP,gzip  bzip2  lzo  zip  lzma  ?,[null]
AKernelLoader,[null],[null],x86 (PC),FAT32  ext2  ext3,GNU/Linux,ELF  Binary,[null],[null],[null]
Yaboot,[null],[null],PowerPC (Open Firmware),ext2  ext3  ext4  hfs,GNU/Linux  FreeBSD  NetBSD  OpenBSD  MacOSX,[null],[null],[null],[null]
RedBoot,[null],[null],ARM  ColdFire  H8300  x86  Freescale/Motorola 68000  MIPS  PPC  SH  SPARC  SPARCLite,JFFS2,Linux  eCos,ELF,TFTP  serial (X-modem),gzip,[null]
Das U-Boot,[null],[null],PPC  ARM  AVR32  Blackfin  ColdFire  IXP  Leon2  m68k  MicroBlaze  MIPS  NIOS  NIOS2  PXA  x86  StrongARM  SH2  SH3  SH4  ...,FAT12(RO)  FAT16  FAT32  VFAT  ext2  ext3  ext4  jffs2  cramfs  reiserfs  yaffs2  ubifs  nfs,4_4bsd  Artos  Dell  Esix  FreeBSD  Irix  Linux  LynxOS  NCR  NetBSD  OpenBSD  pSOS  QNX  RTEMS  SCO  Solaris  SVR4  U-Boot  VXworks,ELF  U-Boot image format,TFTP  NFS  serial (S-Record  Y-Modem  Kermit binary protocol),bzip2  gzip  lzma,[null]
Barebox,[null],[null],ARM  Blackfin  NIOS2  MIPS  x86  PPC,FAT  VFAT  ext2  ext3  ext4  bpkfs  cramfs  NFS  EFI  efivarfs  ubifs,Linux,ELF  U-Boot image format,TFTP  NFS  serial (S-Record  Y-Modem  Kermit binary protocol),bzip2  gzip  lz4  xz  lzo,[null]
kboot,[null],[null],x86  PowerPC64,most supported by Linux Kernel (ext2  ext3  ext4  reiserfs  xfs  jfs  etc..),Linux,[null],HTTP  FTP  TFTP,[null],SSH  NFS support. kexec-based bootloader.
Runnix,[null],[null],[null],[null],Linux,[null],[null],[null],kexec and SYSLINUX based bootloader.
kexec-loader,[null],[null],x86,most supported by Linux Kernel (ext2  ext3  ext4  reiserfs  xfs  jfs  etc..),Linux/multiboot,[null],No networking,gzip (for kernel modules),Kernel/multiboot module support
NTLDR,[null],[null],x86 (PC),[null],Windows,[null],[null],[null],default bootloader on Windows NT
Windows Boot Manager,[null],[null],x86 (PC)  ARM (only on Windows Mobile remake),NTFS,Windows Vista  7  8  and 10,Portable Executable,[null],[null],Successor of NTLDR; used on Vista and up.
FREELDR,[null],[null],x86 (PC)  ARM  PowerPC,ext2  FAT12  FAT16  FAT32  ISO  NTFS BtrFS,ReactOS  Linux  Windows NT 4.0  Windows 2000  Windows XP  Windows 2003,[null],[null],[null],clone of NTLDR
boot0,[null],[null],[null],[null],[null],[null],[null],[null],FreeBSD's master boot record
extipl,[null],[null],[null],[null],[null],[null],[null],[null],IBM IPL upper compatible
Multiple Boot Manager,[null],[null],[null],[null],PC DOS  MS-DOS  Windows  OS/2  Linux  FreeBSD  NetBSD  OpenBSD  BeOS  B-right/V  Solaris  OpenStep  Plan 9  EOTA<ref>ELM - Multiple Boot Manager</ref>,[null],[null],[null],[null]
bootload (Technologic Systems),[null],[null],ARM,[null],Linux,[null],[null],[null],Proprietary
Name,Advanced command,Scriptable,Supported architecture,Supported filesystem,Supported OS,Supported executable,Supported protocol,Supported decompression,Others
