Software,Isochronic tones,Monaural beats,Binaural beats,Photic
BeeOne SMOD/HMS,[null],[null],[null],[null]
Binaural Beethoven,[null],[null],[null],[null]
Brain Equalizer,[null],[null],[null],{{?}}
BrainWave Generator,[null],[null],[null],[null]
Gnaural,[null],[null],[null],[null]
BrainIgniter Player,[null],[null],[null],[null]
Neuro Entrainment,[null],[null],[null],[null]
Neuro-Programmer 3,[null],[null],[null],[null]
Mind WorkStation,[null],[null],[null],[null]
SBaGen,[null],[null],[null],[null]
Brainwave Studio,[null],[null],[null],[null]
Discord,[null],[null],[null],[null]
Isochronic Tone Generator,[null],[null],[null],[null]
Lux VST Brainwave Entrainment Instrument,[null],[null],[null],[null]
Neuro Sequencer Pro,[null],[null],[null],[null]
SHARM Studio 5,(wide  narrow),[null],[null],[null]
