Software,Networkable,Headphone-free sessions,Background noise,Embed audio (sounds  music  hypnosis),Volume modulation for embedded audio,Export as sound file,User-created sessions,Pre-made sessions
BeeOne SMOD/HMS,(via VST),[null],(via VST),(via VST),(via VST),(via VST),[null],[null]
Brain Equalizer,[null],[null],[null],(iPod or any sound app),[null],[null],[null],[null]
Binaural Beethoven,[null],[null],[null],(iPod or any sound app),[null],[null],[null],[null]
BrainWave Generator,[null],[null],(white  pink and brown),[null],[null],(WAV),[null],[null]
Gnaural,[null],[null],(pink),[null],[null],(OGG  MP3  WAV),[null],[null]
BrainIgniter Player,[null],[null],(white  pink and brown),[null],[null],(MP3),[null],[null]
Neuro Entrainment,[null],[null],[null],[null],[null],[null],[null],[null]
Neuro-Programmer 3,[null],[null],(white  pink and brown),[null],[null],(OGG  MP3 WAV),[null],[null]
Mind WorkStation,(with plugins),[null],(white  pink and brown),[null],[null],(OGG  MP3 WAV),[null],[null]
SBaGen,[null],[null],(pink),(WAV  raw audio  OGG  MP3),[null],(WAV  raw audio),[null],[null]
Brainwave Studio,[null],[null],(white),[null],[null],[null],[null],[null]
Discord,[null],[null],(white  pink and brown),(WAV  raw audio  OGG  FLAC),[null],(WAV  raw audio  OGG  FLAC),[null],[null]
Isochronic Tone Generator,[null],[null],[null],(iPod or any sound app),[null],[null],(in real time),[null]
Lux VST Brainwave Entrainment Instrument,[null],[null],[null],[null],[null],(through DAW),[null],[null]
Neuro Sequencer Pro,[null],[null],[null],[null],[null],(MP3  M4A  WAV),[null],[null]
SHARM Studio 5,[null],[null],(white  pink and brown),(WAV  OGG  MP3),[null],(WAV  OGG  MP3),[null],[null]
