[null],included chess engine(s),Can open/save PGN,Can import UCI<ref>Universal Chess Interface</ref> engines,Levels,3D or Animated pieces,Variants,Multiplayer
Aquarium,Crafty  Delfi  Rybka  Spike,[null],[null],multivariation<ref>The GUI will take a second or third best move from the engine.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Battle Chess,n/a,[null],[null],[null],[null],[null],[null]
Battle Chess: Game of Kings,n/a,[null],[null],[null],[null],[null],[null]
Battle vs. Chess,Fritz,[null],[null],levels 1-9,[null],[null],[null]
Chessaria: The Tactical Adventure,Chessaria AICE,[null],[null],[null],[null],[null],[null]
''Chess Assistant,Dragon  Rybka,[null],[null],multivariation  uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Chessbase,Fritz,[null],[null],uci_elo<ref>Universal Chess Interface</ref> for analysis but no timed games,[null],Chess960,[null]
Chessmaster,The King,[null],[null],Personalities with Elo ratings,[null],[null],no longer supported
Chess Titans,n/a,[null],[null],[null],[null],[null],[null]
ChessV,[null],[null],[null],[null],[null],[null],[null]
Fritz,Rybka  earlier Pandix or Fritz,[null],[null],Friend Mode<ref>The GUI will adjust the level of play during each game based on how well you are playing.</ref>  Handicap and Fun<ref>You can select the Elo rating and style that the engine will play.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Fritz and Chesster,Koenig Schwarz,[null],[null],[null],[null],[null],[added]
GNOME Chess,[null],[null],[null],[null],[null],[null],[added]
GNU Chess,GNU chess,[null],[null],[null],[null],Knightmate  Capablanca  Gothic  Shatranj  Courier  Cylinder  Berolina,[null]
Hiarcs Chess Explorer,Hiarcs,[null],[null],uci_elo<ref>Universal Chess Interface</ref>,[null],[null],[null]
Chessbase Houdini,Houdini,[null],[null],Friend Mode<ref>The GUI will adjust the level of play during each game based on how well you are playing.</ref>  Handicap and Fun<ref>You can select the Elo rating and style that the engine will play.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Chessbase Junior,Junior,[null],[null],Friend Mode  Handicap and Fun  uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Chessbase Komodo,Komodo,[null],[null],Friend Mode<ref>The GUI will adjust the level of play during each game based on how well you are playing.</ref>  Handicap and Fun<ref>You can select the Elo rating and style that the engine will play.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Playchess,none,[null],[null],Other players have Elo rating,[null],Chess960,[null]
Play Magnus,Glaurung,[null],[null],can choose Magnus' age,[null],[null],[null]
Pure Chess,n/a,[null],[null],[null],[null],[null],[null]
pyChess,Pychess engine  Stockfish,[null],[null],[null],[null],[null],[null]
Chessbase Rybka,Rybka,[null],[null],Friend Mode  Handicap and Fun  uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Shredder UCI GUI,Shredder,[null],[null],uci_elo<ref>Universal Chess Interface</ref>,[null],Chess960,[null]
Wii Chess,Loop Express,[null],[null],[null],[null],[null],[null]
Winboard/xBoard,Crafty,[null],via UCI2WB,[null],[null],Knightmate  Capablanca  Gothic  Shatranj  Courier  Cylinder  Berolina,[null]
[added],[added],[added],[added],[added],[added],[added],[added]
