Shell,Usual environment,Usually invoked,Introduced,Platform-independent,Default login shell in,Default script shell in,License,Source code availability,User interface,Mouse support,Unicode support,ISO 8601 support,Console redirection,Stream redirection,Configurability,Startup/shutdown scripts,Batch scripts,Logging,available as statically linked  independent single file executable
Thompson shell,UNIX,sh,1971,[null],UNIX,UNIX,[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bourne shell 1977 version,7th Ed. UNIX,sh,1977,[null],7th Ed. UNIX,7th Ed. UNIX ,[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bourne shell current version,Various UNIX,sh,1977,[null],SunOS-5.x  FreeBSD (non-root user)<ref></ref>,SunOS-5.x,</ref>}},[null],Text-based CLI,[null],<ref group="nb">Since mid 1990s.</ref>,[null],[null],[null],[null],[null],[null],<ref group="nb">if compiled with -DACCT.</ref>,[null]
POSIX shell<ref></ref>,POSIX,sh,1992<ref>As part of IEEE Std.1003.2-1992 (POSIX.2); integrated into IEEE Std.1003.1 with the 2001 revision.</ref>,[null],[null],POSIX,[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],Unspecified (.profile given as an example),[null],[null],[null]
bash (v4),POSIX,bash  sh,1989<ref></ref>,[null],GNU  Linux (default for root)  macOS 10.3–10.14,GNU  Linux  Haiku  macOS 10.3–10.14,[null],[null],Text-based CLI,[null],<ref>  "Bash now supports the \u and \U Unicode escape."</ref>,[null],[null],[null],[null],[null],[null],[null],[null]
csh,POSIX,csh,1978,[null],SunOS,[null],[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
tcsh,POSIX,tcsh  csh,1983<ref name="Greer"></ref>,[null],FreeBSD (default for root)  formerly Mac OS X,[null],[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Hamilton C shell,Win32  OS/2,csh,1988<ref name="PCWeek"></ref>,(OS/2 version no longer maintained),[null],[null],[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Scsh,POSIX,scsh,1994,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ksh (ksh93t+),POSIX,ksh,1983<ref name="Gomes"></ref><ref name="Harris"> </ref>,[null],AIX  HP-UX,OpenSolaris,[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
pdksh,POSIX,ksh  sh,1989?,[null],OpenBSD<ref name="default OpenBSD">Default shell in OpenBSD is ksh (pdksh).</ref>,OpenBSD<ref name="default OpenBSD"/>,[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
zsh,POSIX,zsh,1990,[null],Deepin  GoboLinux  Grml  macOS 10.15+,Grml  macOS 10.15+,[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ash,POSIX,sh,1989,[null],Minix  BusyBox based systems,NetBSD  Minix  BusyBox based systems,[null],[null],Text-based CLI,[null],(for BusyBox  supported in command-line editing  but not in string handling<ref></ref>),[null],[null],[null],[null],[null],[null],[null],[null]
CCP,CP/M  MP/M,(CCP),1976 (1974),[null],CP/M (no login)  MP/M,CP/M  MP/M,[null],(originally closed-source),Text-based CLI,[null],[null],[null],[null],[null],[null],(automatic via $$$.SUB),(only via external SUBMIT command to update $$$.SUB),[null],[null]
COMMAND.COM,DOS,COMMAND,1980,(3rd party implementations  not bound to a specific DOS vendor or version  available),DOS  Windows 95  98  SE  ME,DOS  Windows 95  98  SE  ME,vendor specific  f.e. MS-EULA <ref group="nb">MS-DOS and Windows component – covered by a valid license for MS-DOS or Microsoft Windows.</ref> or BSD/GPL (free clones),(except for OpenDOS  DR-DOS  PTS/DOS and FreeDOS),Text-based CLI,[null],[null],(except for DR-DOS),(via COMMAND con: or CTTY con:),[null],(via startup parameters and environment variables  DR-DOS also supports DIR /C /R user-default switch command),(automatic \AUTOEXEC.BAT for primary shell  or explicitly via /P  /P:filename.bat or /K startup options),(via CALL command or /C and /K startup options),[null],[null]
OS/2 CMD.EXE,OS/2,CMD,1987,[null],OS/2,OS/2,<ref group="nb">OS/2 component – covered by a valid license for OS/2.</ref>,[null],Text-based CLI,[null],[null],[null],[null],[null],[null],(only via /K startup option),(via CALL command or /C and /K startup options),[null],[null]
Windows CMD.EXE<ref group="nb" name="cmd /x">Command extensions enabled  or "CMD /X".</ref>,Win32,CMD,1993,[null],Windows NT  2000  XP  Server 2003  Vista,Windows NT  2000  XP  Server 2003  Vista,<ref group="nb" name="ReferenceA">Windows component – covered by a valid license for Microsoft Windows.</ref>,[null],Text-based CLI,[null],(CHCP 65001 for UTF-8  but program arguments are still encoded in local codepage),[null],[null],[null],(via registry  startup parameters  and environment variables),(automatic via registry  or explicitly via /K startup option),(via CALL command or /C and /K startup options),[null],[null]
4DOS  NDOS,DOS  Windows 95  98  SE  ME,4DOS  NDOS,1989 (1986),[null],[null],[null],[null],[null],Text-based CLI with TUI extensions,(popups  help system  %_MOUSE internal variable  INKEY /M command),[null],[null],(via CTTY con:  except for DRAWBOX  DRAWLINE  DRAWVLINE  LIST  SCREEN  SCRPUT  SELECT  VSCRPUT commands and file / directory coloring),[null],(via 4DOS.INI/NDOS.INI file  startup parameters  environment variables  SETDOS command),(automatic \AUTOEXEC.BAT for primary shell and 4START.BTM/4START.BAT as well as 4EXIT.BTM/4EXIT.BAT for any shell  or explicitly via /P  /P:dir\filename.ext or /K startup options),(via CALL command or /C and /K startup options),[null],[null]
4OS2,OS/2,4OS2,1992,[null],[null],[null],[null],[null],Text-based CLI,[null],[null],[null],[null],[null],(via 4OS2.INI file  startup parameters  environment variables  SETDOS command),(automatic via 4START.CMD/4START.BTM as well as 4EXIT.CMD/4EXIT.BTM files  or explicitly via /K startup.cmd option),(via CALL command or /C and /K startup options),[null],[null]
TCC (formerly 4NT),Win32,TCC,1993,[null],optional,optional,[null],[null],Text-based CLI (Take Command: GUI),(console mouse  popups  help system  %_XMOUSE  %_YMOUSE internal variables  INKEY /M command),[null],[null],[null],[null],(via registry  TCMD.INI/4NT.INI file  startup parameters  environment variables  SETDOS command),(automatic via registry and TCSTART/4START as well as TCEXIT/4EXIT  or explicitly via /K startup option),(via CALL command or /C and /K startup options),[null],[null]
VMS DCL<ref></ref>,OpenVMS,Automatically for login/interactive process,1977?,[null],VMS,VMS,Proprietary  bundled in VMS,[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PowerShell,.NET,PowerShell,2006,[null],Windows Server 2008  7  Vista  XP<ref group="nb" name="optional">Windows PowerShell is installed with Windows 7  however  it is an optional download for users of Windows Vista or Windows XP.</ref>,Windows Server 2008  7,[null],[null],Graphical CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
rc,Plan 9  POSIX,rc,1989,[null],Plan 9  Version 10 Unix,Plan 9  Version 10 Unix,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BeanShell,Java,[null],2005,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
fish,POSIX,fish,2005<ref></ref>,[null],GhostBSD,[null],[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ion,Redox  Linux,ion,2015<ref></ref>,[null],Redox,Redox,[null],[null],Text-based CLI,[null],[null],[null],[null],[null],[null],[null],[null],[null],(not distributed as a standalone executable  but it can be built as one)
Shell,Usual environment,Usually invoked,Introduced,Platform-independent,Default login shell in,Default script shell in,License,Source code availability,User interface,Mouse support,Unicode support,ISO 8601 support,Console redirection,Stream redirection,Configurability,Startup/shutdown scripts,Batch scripts,Logging,available as statically linked  independent single file executable
