Shell,Functions,Exception handling,Search & replace on variable substitutions,Arith&shy;metic,Floating point,Math function library,Linear arrays or lists,Assoc&shy;iative arrays,Lambda functions,eval func&shy;tion,Pseudo&shy;random number generation,Bytecode
Bourne shell 1977 version,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bourne shell current version,[null],[null],[null],<ref group="nb" name="ReferenceB"/>,[null],[null],[null],[null],[null],[null],[null],[null]
POSIX shell,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
bash (v4.0),[null],[null],Yes (via ${//} syntax)}},[null],[null],[null],[null],[null],[null],[null],[null],[null]
csh,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
tcsh,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Hamilton C shell,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Scsh,[null],?,[null],?,?,?,[null],?,[null],[null],[null],[null]
ksh (ksh93t+),[null],[null],Yes (via ${//} syntax and builtin commands)}},[null],[null],[null],[null],[null],[null],[null],[null],[null]
pdksh,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
zsh,[null],[null],Yes (via ${:s//} and ${//} syntax)}},[null],[null],[null],[null],[null],[null],[null],[null],[null]
ash,[null],(via trap),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CCP,[null],?,[null],[null],?,?,[null],[null],[null],[null],[null],[null]
COMMAND.COM,[null],(only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS)),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OS/2 CMD.EXE,[null],[null],[null],?,[null],[null],?,[null],[null],[null],[null],[null]
Windows CMD.EXE,[null],[null],[null],</ref>}},[null],[null],</ref>)}},[null],[null],[null],[null],[null]
4DOS,[null],[null],[null],[null],?,?,[null],[null],[null],[null],[null],[null]
4OS2,?,?,?,?,?,?,?,?,[null],[null],(%@Random[...] function),?
TCC (formerly 4NT),[null],[null],[null],[null],?,?,[null],?,[null],[null],(%@Random[...] function),(via BATCOMP command)
PowerShell,[null],(Try-Catch-Finally),[null],[null],[null],<ref>The .NET System.Math class defines mathematical functions that can be used through the shortcut [Math]  e.g. [Math]::Sin for the sinus function.https://technet.microsoft.com/en-us/library/dd347632.aspx</ref>,[null],[null],[null],[null],[null],[null]
rc,[null],[null],[null],?,?,?,[null],?,[null],[null],[null],[null]
BeanShell,[null],[null],?,[null],?,?,[null],[null],[null],[null],[null],[null]
VMS DCL,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
fish,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
