Shell,Secure (password) prompt,Encrypted variables/ parameters,File/directory passwords,Execute permission,Untrusted script blocking,Restricted shell subset,Safe data subset
Bourne shell,<ref group="nb" name="tty">The shell can use the stty utility to suppress echoing of typed characters to the screen. This requires multiple steps: 1. reading the current echo state  2. switching echo off  3. reading the input  4. switching echo state back to the original state.</ref>,[null],?,<ref group="nb" name="hashbang">The execute permission is enforced by a separate program  the program loader  by refusing to invoke the interpreter (possibly a shell) specified by the script's hashbang. The interpreter does not enforce the execute permission if invoked directly as the program loader would  with the file as an argument; this only requires read permission  as does piping the file as input to the interpreter  in which case the interpreter cannot see the execute permission.</ref>,[null],[null],[null]
POSIX shell,<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
bash (v4.0),[null],[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
csh,<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
tcsh,<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
Hamilton C shell,[null],[null],[null],[null],[null],[null],[null]
Scsh,<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
ksh (ksh93t+),<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
pdksh,<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
zsh,[null],[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
ash,<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],[null],[null]
CCP,[null],[null],[null],[null],[null],[null],[null]
COMMAND.COM,(only under DR-DOS  prompts for password if file/directory is protected),[null],(only under DR-DOS via \dirname;dirpwd\filename;filepwd syntax)<ref group="nb" name="drpwd">Under DR-DOS the password separator for file and directory passwords is a semicolon. This is also supported under 4DOS for as long as the command does not support include lists. Under 4DOS  the password separator must be doubled for all commands supporting include lists in order to distinguish passwords from include lists. Commands not supporting include lists accept both forms. DR-DOS 7.02 and higher optionally accept a doubled semicolon as well  so that doubled semicolons work under both COMMAND.COM and 4DOS regardless of the command executed.</ref>,(only under DR-DOS  if files are password-protected for read and/or execute permission)<ref group="nb" name="drexec">DR-DOS supports file passwords for read/write/delete and optionally execute permissions. Files are not protected by default  but the system can be set up so that f.e. batch scripts require a password to read.</ref>,[null],[null],[null]
OS/2 CMD.EXE,[null],[null],[null],[null],[null],[null],[null]
Windows CMD.EXE,[null],[null],[null],[null],[null],[null],[null]
4DOS,(via INPUT /P or INKEY /P)<ref group="nb" name="input/p">INPUT /P and INKEY /P echoes back asterisks for each typed character.</ref>,[null],(only under DR-DOS via \dirname;;dirpwd\filename;;filepwd syntax)<ref group="nb" name="drpwd"/>,(only under DR-DOS  if files are password-protected for read and/or execute permission)<ref group="nb" name="drexec"/>,[null],[null],[null]
4OS2,?,[null],[null],[null],[null],[null],[null]
TCC (formerly 4NT),(via INPUT /P  INKEY /P or QUERYBOX /P)<ref group="nb" name="input/p"/>,[null],[null],[null],[null],[null],[null]
PowerShell,<ref group="nb">Read-Host -AsSecureString reads a string of characters from the input device into an encrypted string  one character at a time thus ensuring that there is no memory image of the clear text which could be gleaned from scanning memory  or from crash dumps  memory dumps  paging files  log files or similar.</ref>,[null],[null],<ref group="nb">PowerShell script files (.ps1 files) are by default associated with the Notepad editor  not with the PowerShell execution engine. Invoking a .ps1 file will launch Notepad rather than executing the script.</ref>,<ref name="microsoft1"></ref>,<ref group="nb">Startup scripts per computer/user can import modules and expose a subset the commands/functions available in the modules.</ref>,<ref></ref>
rc,<ref group="nb" name="tty"/>,[null],?,<ref group="nb" name="hashbang"/>,[null],<ref></ref>,[null]
BeanShell,?,?,?,?,?,?,?
VMS DCL,[null],[null],[null],[null],[null],[null],[null]
fish,[null],[null],?,<ref group="nb" name="hashbang"/>,[null],[null],?
