Name,Platform,License,Builders: Windows,Builders: Java,Builders: other,Notification,Integration  IDEs,Integration  other
Apache Gump,Python,[null],[null],[null],[null],Email,[null],[null]
AppVeyor,Hosted  Self-Hosted,[null],[null],[null],[null],Email  HipChat  Slack  Catlight,[null],[null]
Azure DevOps Server (formerly TFS and VSTS),Cross-platform,Proprietary  MIT,[null],[null],[null],Email  SOAP  Catlight,[null],[null]
Bamboo,Web container,[null],</ref> NAnt <ref></ref> Visual Studio<ref></ref>}},</ref> Maven 1-2-3<ref name="confluence.atlassian.com"></ref>}},</ref> Phing <ref></ref> Grunt  Grails<ref></ref>}},XMPP  Google Talk  Email  RSS  Remote API  HipChat,[null],[null]
Buddy,Cross-platform,[null],[null],[null],[null],Desktop  Email  Slack  SMS,[null],[null]
Buildbot,Python,[null],[null],[null],[null],Email  Web  GUI  IRC,[null],[null]
BuildMaster,Cross-platform,[null],[null],[null],[null],Email  custom,[null],[null]
CruiseControl,Cross-platform,[null],[null],[null],[null],Email  CCTray,[null],[null]
CruiseControl.NET,Cross-platform,[null],[null],[null],[null],Email  CCTray  RSS,[null],[null]
GitLab,Cross-Platform  Self-Hosted,Proprietary  MIT,</ref>}},</ref>  Gradle<ref></ref>}},</ref>}},Email  Web  Slack and others<ref></ref>,</ref>}},[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
GoCD,Cross-platform,[null],[null],[null],[null],Email  hipchat  Slack  Gerrit  Gitter  Riemann etc,[null],[null]
Jenkins,Web container,[null],[null],[null],[null],Android  Email  Google Calendar  IRC  XMPP  RSS  Twitter  Slack  Catlight  CCMenu  CCTray,[null],[null]
OpenMake Software Meister,Cross-platform,[null],[null],[null],[null],Email  XMPP  RSS  Systray,[null],[null]
Semaphore (software),Hosted,[null],[null],[null],[null],Email  Campfire  HipChat  Slack  Flowdock  Webhooks  Remote API,[null],[null]
Travis CI,Hosted,[null],[null],</ref>}},[null],Email  Campfire  HipChat  IRC  Slack  Catlight  CCMenu  CCTray,[null],[null]
TeamCity,Web container,[null],[null],[null],</ref> Xcode <ref></ref> Rake  FxCop}},Email  XMPP  RSS  IDE  SysTray  Catlight,[null],[null]
Vexor,Hosted,[null],[null],[null],[null],Email  HipChat  Slack,[null],[null]
