Name,AccuRev,BitKeeper,CA Harvest,ClearCase,CVS,Darcs,Git,GNU Bazaar,Integrity,Mercurial,Perforce,Plastic,PVCS,StarTeam,Subversion,Surround,Synergy,Team Concert,TFVC,Vault,Visual SourceSafe
Apache Gump,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
AppVeyor,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],[null]
Azure DevOps Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bamboo,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null]
Buddy,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BuildBot,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BuildMaster,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CruiseControl,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CruiseControl.NET,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Distelli,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Jenkins,[null],[null],[null],[null],[null],<ref></ref>,[null],[null],<ref>https://wiki.jenkins-ci.org/display/JENKINS/PTC+Integrity+Plugin</ref>,[null],[null],<ref></ref>,[null],[null],[null],<ref></ref>,<ref></ref>,<ref>https://wiki.jenkins-ci.org/display/JENKINS/Team+Concert+Plugin</ref>,[null],<ref>https://wiki.jenkins-ci.org/display/JENKINS/Vault+Plugin</ref>,[null]
OpenMake Software Meister,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Semaphore (software),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
TeamCity,[null],[null],[null],[null],[null],[null],[null],<ref>https://plugins.jetbrains.com/plugin/8886-bazaar</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Vexor,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
