[null],user manager,Plugin,Compare,Import,Export,Debugger,Source control,Spatial Visualization
Adminer,[null],[null],[null],SQL script  CSV  <abbr title="Tab Separated Values">TSV</abbr> or the above in zip (as a plugin); imports of server-site file in SQL or SQL in zip  gzip or bzip2,SQL script  CSV  <abbr title="Tab Separated Values">TSV</abbr> or the above in zip  gzip  bzip2; XML (as a plugin),[null],Git,[added]
Altova DatabaseSpy,[null],[null],[null],CSV  XML,XML  XML Structure  CSV  HTML  MS Excel,[null],[null],[added]
DaDaBIK,<ref>can manage its own users  which override the DBMS users</ref>,[null],[null],[null],CSV,[null],[null],[added]
Database Workbench,[null],[null],[null],[null],[null],[null],[null],[added]
DataGrip,[null],[null],[null],[null],TXT  CSV  HTML  XML  DBF  SQL script  RTF  MS Word  MS Excel  MS Access  MS Windows Clipboard  Paradox file  WK1  WQ1  SLK  DIF  LDIF,[null],[null],[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
DBeaver,[null],[null],[null],[null],[null],[null],With Eclipse plugins,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
DBEdit,[null],[null],[null],[null],MS Excel  PDF  Text  SQL script,[null],[null],[added]
Epictetus,[null],[null],[null],[null],Excel,[null],[null],[added]
ModelRight,[null],[null],[null],- from supported databases using native interfaces  or from any ODBC source,SQL; XML; DTD; Diagram as BMP  JPEG,[null],[null],[added]
Navicat,[null],[null],[null],- TXT  CSV  DBF  HTML  MS Excel  MS Access  Paradox file  WK1  WQ1  XML  or from any ODBC source (See link for limitations<ref name="Navicat features">title= Navicat feature matrix</ref>),- TXT  CSV  HTML  XML  DBF  SQL script  RTF  MS Word  MS Excel  MS Access  MS Windows Clipboard  Paradox file  WK1  WQ1  SLK  DIF  LDIF (See link for limitations<ref name="Navicat features"/>),[null],[null],[added]
Navicat Data Modeler,[null],[null],[null],- Import Database from server/ODBC,- Export SQL,[null],[null],[added]
MySQL Workbench,[null],[null],[null],- CSV  HTML  JSON  MS Excel  SQL INSERTS  Tab-separated  XML,- CSV  HTML  JSON  MS Excel  SQL INSERTS  Tab-separated  XML,[null],[null],[added]
Oracle SQL Developer,[null],[null],[null],[null],[null],[null],[null],[null]
Orbada,[null],[null],[null],SQL script,SQL script  CSV  XML  HTML  PDF  Excel  DBF  DataText,[null],[null],[null]
pgAdmin III,[null],[null],[null],CSV  Text  or binary,CSV  text  HTML  XML,[null],[null],[added]
phpMyAdmin,[null],[null],[null],- CSV  SQL  XML  Excel  ODS,- CSV  LaTeX  Excel  Word  ODS  ODT  XML  SQL  YAML  Texy!  JSON  NHibernate  PHP  PDF  MediaWiki,[null],Git,[added]
SQL Database Studio,[null],[null],[null],CSV  XML  MS Excel,CSV  HTML  MS Excel  SQL INSERTS  Tab-separated  XML,[null],[null],[added]
SQLyog,[null],[null],[null],[null],[null],[null],[null],[added]
SQL Server Management Studio,[null],[null],[null],[null],[null],[null],<ref>https://blogs.technet.microsoft.com/dataplatforminsider/2016/11/21/source-control-in-sql-server-management-studio-ssms/</ref>,[null]
SQuirreL SQL,[null],[null],[null],[null],[null],[null],[null],[added]
Toad,[null],[null],[null],[null],[null],[null],SVN  CVS  TFS  VSS,[added]
Toad Data Modeler,[null],[null],[null],Toad for Oracle ERD  ERWin 7.1(XML) via plugin,SQL; meta data in XML; report in HTML/RTF/CSV; diagram as BMP  JPEG  PNG,[null],[null],[added]
TOra,[null],[null],[null],[null],[null],[null],[null],[added]
