+,Desktop publishing software,Developer(s),Latest stable version,Initial release,License
CorelDRAW,Corel,X8 (18.0) (),[null],[null],[added]
Fatpaint (Cloud-based),Mersica Inc.,1.98 (),[null],[null],[added]
Flare,MadCap Software,2019 (),[null],[null],[added]
FrameMaker,Adobe Systems,12.0.3 (),[null],[null],[added]
InDesign,Adobe Systems,CC 2020 (15.0) ()<ref></ref>,[null],[null],[added]
InPage,InPage Team,3.0 (),[null],[null],[added]
iStudio Publisher,iStudio Software,1.3 (),[null],[null],[added]
LyX,The LyX Team,2.3.0 (),[null],[null],[added]
Microsoft Publisher,Microsoft Corporation,16.0 (),[null],[null],[added]
Apache OpenOffice Writer,Apache Software Foundation and others,4.1.1 (),[null],[null],[added]
LibreOffice,The Document Foundation,[null],[null],[null],[added]
PageMaker*,Adobe Systems,7.0.2 (),[null],[null],[added]
PagePlus,Serif Europe,X9 (),[null],[null],[added]
Pages,Apple Inc.,[null],[null],[null],[added]
PageStream,Grasshopper LLC,5.0 (),[null],[null],[added]
QuarkXPress,Quark  Inc.,2017 (),[null],[null],[added]
Ready Set Go!,Diwan Software Limited,7.7.8b (),[null],[null],[added]
Scribus,The Scribus Team,1.4.8 (),[null],[null],[added]
The Print Shop,Brøderbund,23.0 (),[null],[null],[added]
Ventura*,Corel,10.0 (),[null],[null],[added]
Desktop publishing software,Developer(s),Latest stable version,Initial release,License,[added]
