+,Desktop publishing software,Windows,Mac OS (X),Linux,BSD,UNIX,Other
CorelDRAW,[null],[null],[null],[null],[null],[null],[added]
Fatpaint,[null],[null],[null],[null],[null],[null],[added]
Flare,[null],[null],[null],[null],[null],[null],[added]
FrameMaker,[null],[null],[null],[null],[null],[null],[added]
InDesign,[null],[null],[null],[null],[null],[null],[added]
InPage,[null],[null],[null],[null],[null],[null],[added]
iStudio Publisher,[null],[null],[null],[null],[null],[null],[added]
LyX,[null],[null],[null],[null],[null],[null],[added]
Microsoft Publisher,[null],[null],[null],[null],[null],[null],[added]
OpenOffice.org,[null],[null],[null],[null],[null],[null],[added]
PageMaker*,[null],[null],[null],[null],[null],[null],[added]
PagePlus,[null],[null],[null],[null],[null],[null],[added]
Pages,[null],[null],[null],[null],[null],[null],[added]
PageStream,[null],[null],[null],[null],[null],[null],[added]
QuarkXPress,[null],[null],[null],[null],[null],[null],[added]
Ready Set Go!,[null],[null],[null],[null],[null],[null],[added]
Scribus,[null],[null],[null],[null],[null],[null],[added]
The Print Shop,[null],[null],[null],[null],[null],[null],[added]
Ventura*,[null],[null],[null],[null],[null],[null],[added]
Desktop publishing software,Windows,Mac OS (X),Linux,BSD,UNIX,Other,[added]
