[null],OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
Acoustica,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],W64
Ardour,<ref></ref>,<ref>In development </ref>,[null],[null],[null],[null],[null],[null],[null],[null],W64
Audacity,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],AMR
AudioDesk,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SDII (native)
Audiotool,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Audition,[null],[null],(unsupported since CS5),[null],[null],[null],[null],[null],[null],[null],AU  IFF  RAW/PCM  SMP  VOC  VOX  WMA
BIAS Peak,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bitwig Studio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cakewalk by BandLab,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],W64  CAF  SDII  AU  SND  DSF  DFF  RCY  ASF  WMA  WMV
Cubase,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],WMA  W64
Diamond Cut ART,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Digital Performer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SDII (native)
Ecasound,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FL Studio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],XI  REX  REX2
GarageBand,[null],[null],<ref name="GarageBand MIDI">Import only  Version 2 or higher.</ref>,[null],[null],[null],[null],[null],[null],[null],[null]
Goldwave,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Windows Media Audio  AU  Monkey's Audio  VOX  mat  snd  voc
Harrison Mixbus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],AIFC  NeXT AU/SND  Headerless RAW  PAF  IFF/SVX  Sphere Nist WAV  IRCAM SF  VOC  W64  MAT4  MAT5  PVF  Fasttracker 2 XI  HMM Tool Kit HTK  CAF  SD2
[null],OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
Jokosher,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Kristal,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Live,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],SDII (Mac OS X Only)
LMMS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],AU  DS  RAW  SPX  VOC. Can also open .flp files
Logic Express/Studio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Mixcraft,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
mp3DirectCut,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MuLab,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MusE,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
N-Track,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],WMA  EDL  WAV64
Nuendo,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NU-Tech,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Podium,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
