Application,Creator,Software license
Ashampoo Burning Studio,Ashampoo Software,[null]
Alcohol 120%,Alcohol Soft,[null]
CDBurnerXP,Stefan Haglund  Fredrik Haglund,http://www.cdburnerxp.se/help/Intro/license
cdrtools,Jörg Schilling,(CDDL parts are GPL)
DeepBurner,Astonsoft,[null]
ExpressBurn,NCH Software,[null]
ImgBurn,LIGHTNING UK!,http://www.imgburn.com/#license
InfraRecorder,Christian Kindahl,(GPL)
K3b,Sebastian Trüg  Christian Kvasny,(GPL)
Libburnia,Libburnia team,(GPL)
Nero Burning ROM,Ahead Software,[null]
UltraISO,EZB Systems,[null]
X-CD-Roast,T. Niederreiter,(GPL)
Application,Creator,Software license
