Application,CD-R/W,DVD-R/RW/RAM,DVD+R/RW,DVD+R/RW DL,DVD-R/RW DL,BD-R/RE,BD-R/RE DL
Alcohol 120%,[null],[null],[null],[null],[null],[null],[null]
CDBurnerXP,[null],[null],[null],[null],[null],[null],[null]
cdrtools,[null],[null],[null],[null],[null],[null],[null]
DeepBurner,[null],[null],[null],[null],[null],[null],[null]
ExpressBurn,[null],[null],[null],[null],[null],[null],[null]
ImgBurn,[null],[null],[null],[null],[null],[null],[null]
InfraRecorder,[null],[null],[null],[null],[null],[null],[null]
K3b,[null],[null],[null],[null],[null],[null],[null]
Libburnia,[null],[null],[null],[null],[null],[null],[null]
Nero Burning ROM,[null],[null],[null],[null],[null],[null],[null]
UltraISO,[null],[null],[null],[null],[null],[null],[null]
X-CD-Roast,[null],[null],[null],[null],[null],[null],[null]
Application,CD-R/W 737MB=702MiB,DVD-R/RW/RAM 4.707GB=4.384GiB,DVD+R/RW 4.700GB=4.378GiB,DVD+R/RW DL 8.548GB=7.961GiB,DVD-R/RW DL 8.544GB=7.957GiB,BD-R/RE 25GB=23.31GiB,BD-R/RE DL 50GB=46.61GiB
