Name,Creates?,Modifies?,Mounts?,Writes/<wbr/>Burns?,Extracts?,Input format,Output format,OS,License
7-Zip,[null],[null],[null],[null],[null],CramFS  DMG  FAT  HFS  MBR  NTFS  ISO  SquashFS  UDF  VHD  WIM<ref>http://www.7-zip.org/</ref>,WIM,Windows  Linux  Classic Mac OS,[added]
AcetoneISO,[null],[null],[null],[null],[null],CD  DVD  ISO  BIN  MDF+MDS  IMG  NRG  CUE  TOC  DMG,CD  DVD  ISO  BIN,Linux,[added]
Acronis True Image,[null],[null],[null],[null],[null],TIB  VHD,TIB  VHD,Windows,[added]
Alcohol 120%,[null],[null],[null],[null],[null],ISO  B5T  B6T  BWT  CCD  CDI  CUE  MDF+MDS  NRG  ISZ,MDF+MDS  ISO,Windows,[added]
Alcohol 52% FE,[null],[null],[null],[null],[null],ISO,[null],Windows,[added]
AnyDVD HD,[null],[null],[null],[null],[null],[null],ISO,Windows,[added]
Archive Manager,[null],[null],[null],[null],[null],ISO,[null],Unix-like,[added]
Ashampoo Burning Studio,[null],[null],[null],[null],[null],ISO  BIN+CUE,ISO  BIN+CUE,Windows,[added]
BlindWrite,[null],[null],[null],[null],[null],B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS,B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS,Windows,[added]
Brasero,[null],[null],[null],[null],[null],ISO  CUE,CD  DVD,Linux,[added]
Burnatonce,[null],[null],[null],[null],[null],ISO  CUE  TOC,[null],Windows,[added]
CDBurnerXP,[null],[null],[null],[null],[null],ISO  MDF+MDS  NRG  BIN+CUE,ISO  MDF+MDS,Windows,[added]
CDemu,[null],[null],[null],[null],[null],CSO  ECM  GBI  GZ  XZ  ISZ  DMG  ISO  UDF  NRG  CDI  CCD  SUB  IMG  BIN+CUE  TOC  B5T+B5I  B6T+B6I  MDF+MDS  MDX  CIF  C2D  DAA,ISO  TOC,Linux,[added]
genisoimage,[null],[null],[null],[null],[null],[null],[null],Linux <br />Unix,[added]
isoinfo,[null],[null],[null],[null],[null],[null],[null],Unix <br /> Linux <br />Amiga<br />Windows <br /> macOS,[added]
mkisofs,[null],[null],[null],[null],[null],[null],[null],Unix <br /> Linux <br />Amiga<br />Windows <br /> macOS,[added]
CDRoller,[null],[null],[null],[null],[null],ISO,ISO,Windows,[added]
CDRWIN,[null],[null],[null],[null],[null],BIN+CUE,BIN+CUE,Windows,[added]
CloneCD,[null],[null],[null],[null],[null],[null],ISO  UFD  IMG,Windows,[added]
CloneDVD,[null],[null],[null],[null],[null],ISO,ISO,Windows,[added]
CopyCatX,[null],[null],[null],[null],[null],DMG,DMG,macOS,[added]
Daemon Tools,[null],[null],[null],</ref>}},[null],BIN+CUE  B5T  B6T  BWT  CCD  CDI  ISO  ISZ  MDF+MDS  MDX  NRG  VHD  VMDK and TrueCrypt,ISO  MDF+MDS  MDX – VHD and TrueCrypt in Ultra edition,Windows,[added]
DeepBurner,[null],[null],[null],[null],[null],ISO,ISO,Windows,[added]
Disco,[null],[null],[null],[null],[null],CDR  ISO  DMG,CDR  ISO  DMG,macOS,[added]
DiscJuggler,[null],[null],[null],[null],[null],CDI  ISO,CDI,Windows,[added]
Disk Utility,[null],[null],[null],[null],[null],DMG  ISO,DMG  ISO,macOS,[added]
DiskImageMounter,[null],[null],[null],[null],[null],DMG  ISO,DMG  ISO,macOS,[added]
DVD Shrink,[null],[null],[null],[null],[null],ISO  NRG  IMG  MDF+MDS,ISO,Windows,[added]
Exact Audio Copy,[null],[null],[null],[null],[null],CUE,CUE/audio file types,Windows,[added]
Furius ISO Mount,[null],[null],[null],[null],[null],ISO  IMG  BIN  MDF+MDS  NRG,[null],Linux,[added]
Image for Windows,[null],[null],[null],[null],[null],TBI  VHD  VMDK,TBI  VHD  VMDK,Windows,[added]
ImgBurn,[null],[null],[null],[null],[null],APE+CUE  BIN+CUE  CDI  CDR  DI  FLAC+CUE  GCM  GI  IBQ  IMG  ISO  LST  MDF+MDS  NRG  PDI  UDI  WV,ISO  IMG  BIN+CUE,Windows,[added]
ImgDrive,[null],[null],[null],[null],[null],CCD  ISO  ISZ  NRG,ISO,Windows,[added]
InfraRecorder,[null],[null],[null],[null],[null],ISO,ISO,Windows,[added]
ISO Master<ref name="ISO Master Homepage" /><ref name="ISO Master Debian" />,[null],[null],[null],[null],[null],ISO,ISO,Linux,[added]
ISO Recorder,[null],[null],[null],[null],[null],ISO,ISO,Windows,[added]
IsoBuster,[null],[null],[null],[null],[null],DAO  TAO  ISO  BIN+CUE  IMG+CCD  CIF  FCD  NRG  GCD  P01  C2D  CDI  CD  GI  PXI  MDF+MDS  VC4/000  B5T+B5I  B6T+B6I  DMG  IBP+IBQ  NCD  FLP  E01/S01/Ex01  RMG  UDF  DSK  VMDK  IBADR+IBDAT  DD  XISO  XBX  IMAGE  VHD  VHDX  DC42  WBFS  ST  128  256  512  512E  1KN  2KN  4KN  8KN  16KN  32KN  64KN<ref name="IsoBuster-image-file-support" /><ref name="IsoBuster-dc42" /><ref name="IsoBuster-*Kn-Support" />,ISO  TAO  BIN  CUE  IBADR+IBDAT  DSK  1KN  2KN  4KN  8KN  16KN  32KN  64KN  IBR  IBP and IBQ<ref name="IsoBuster-*Kn-Support" />,Windows,[added]
IsoCreator<ref>https://sourceforge.net/projects/iso-creator-cs/</ref>,[null],[null],[null],[null],[null],[null],ISO,Windows,[added]
K3b,[null],[null],[null],[null],[null],ISO,[null],Unix-like,[added]
libguestfs,[null],[null],[null],[null],[null],raw  qcow2  VMDK  VHD,raw  qcow2  VMDK  VHD,Linux,[added]
Loop device<ref></ref>,[null],[null],[null],[null],[null],Raw image,[null],Linux  FreeBSD,[added]
