Name,Operating system,User interface,Sector by sector,File by file,Hot transfer,Mount or extract,Operation model,License
Standalone,Client–server,From a Live OS,[added],[added],[added],[added],[added],[added]
Acronis True Image<ref name=ATIH2013 />,Windows,Graphical,[null],[null],[null],[null],[null],[null]
Apple Software Restore,macOS,Command-line,[null],[null],[null],[null],[null],[null]
CloneDisk<ref name="CloneDisk" />,Windows 7,Graphical,[null],[null],[null],[null],[null],[null]
Clonezilla<ref name="clonezilla" />,Linux,Text-based,[null],[null],[null],<ref>https://ubuntuforums.org/showthread.php?t=872832</ref>,[null],(Clonezilla server edition)
dcfldd,Linux,Command-line,[null],[null],[null],[null],[null],[null]
dd (Unix),Unix,Command-line,[null],[null],[null],[null],[null],[null]
Disk Utility,macOS,Graphical,[null],[null],[null],[null],[null],[null]
Drive SnapShot<ref name="Drive SnapShot" />,Windows,Graphical  Command-line,<ref>http://www.drivesnapshot.de/en/backfaq.htm</ref>,[null],[null],[null],[null],[null]
FSArchiver,Linux,Text-based,[null],[null],[null],[null],[null],[null]
Ghost<ref name="Norton Ghost" />,Windows,Graphical <br />Command-line,[null],[null],[null],[null],[null],[null]
GParted Live CD<ref></ref>,Linux,Graphical,[null],[null],[null],[null],[null],[null]
HDClone<ref name="HDClone" />,Windows  (Linux<ref name="HDClone/L">HDClone/L as 2nd Live OS for the stand-alone version since HDClone 7.</ref>),Graphical  Command-line,[null],[null],[null],[null],[null],[null]
Image for Windows<ref name="Image for Windows" />,Windows,Graphical,[null],[null],[null],[null],[null],[null]
IsoBuster<ref name="IsoBuster" />,Windows,Graphical,[null],[null],[null],[null],[null],[null]
Kleo Bare Metal Backup,Independent (Live OS),Graphical,[null],[null],[null],[null],[null],[null]
Mondo Rescue<ref name="MondoRescue" />,Linux,Text-based,[null],[null],[null],[null],[null],[null]
ntfsclone<ref name="ntfsclone1" /><ref name="ntfsclone2" />,Linux,Command-line,[null],[null],[null],[null],[null],[null]
partimage<ref name="partimage1" /><ref name="partimage2" />,Linux,Text-based,[null],<ref name="PI-filesystems" />,[null],[null],[null],[null]
Partition-Saving<ref name="partitionsaving1" />,Windows  Linux  DOS,Text-based<br />Command-line,[null],[null],[null],[null],[null],[null]
Redo Backup and Recovery,Independent (Live OS),Graphical,[null],[null],[null],[null],[null],[null]
