Name,Developer,First released,Licensing,Maintained?
Aloaha Crypt Disk,Aloaha,2008,[null],[null]
ArchiCrypt Live,Softwaredevelopment Remus ArchiCrypt,1998,[null],[null]
BestCrypt,Jetico,1993<ref></ref>,[null],[null]
BitArmor DataControl,BitArmor Systems Inc.,2008-05,[null],[null]
BitLocker,Microsoft,2006,[null],[null]
Bloombase Keyparc,Bloombase,2007,[null],<ref></ref>
Boxcryptor,Secomba GmbH,2011,[null],[null]
CGD,Roland C. Dowdeswell,2002-10-04<ref></ref>,[null],[null]
CenterTools DriveLock,CenterTools,2008,[null],[null]
Check Point Full Disk Encryption,Check Point Software Technologies Ltd,1999<ref name="infoworld.com"></ref><ref>Company and product name change to Pointsec </ref><ref></ref>,[null],[null]
CipherShed,CipherShed Project,2014<ref></ref>,<ref></ref>,[null]
CrossCrypt,Steven Scherrer,2004-02-10<ref></ref>,[null],[null]
CryFS,Sebastian Messmer,2015,[null],[null]
Cryhod,Prim'X Technologies,2010,[null],[null]
Cryptainer,Cypherix Software,1999,[null],[null]
Cryptic Disk,Exlade,2003,[null],[null]
CryptArchiver,WinEncrypt,[null],[null],[null]
Cryptoloop,[null],2003-07-02<ref>Initial cryptoloop patches for the Linux 2.5 development kernel: </ref>,[null],[null]
Cryptomator,Skymatic UG (haftungsbeschränkt),2016-03-09,[null],[null]
CryptoPro Secure Disk Enterprise,cpsd it-services GmbH,2010,[null],[null]
CryptoPro Secure Disk for BitLocker,cpsd it-services GmbH,2012,[null],[null]
CryptSync,Stefan Küng,2012,[null],[null]
Discryptor,Cosect Ltd.,2008,[null],[null]
DiskCryptor,ntldr,2007,[null],[null]
DISK Protect,Becrypt Ltd,2001,[null],[null]
Cryptsetup / Dmsetup,Christophe Saout,2004-03-11<ref>dm-crypt was first included in Linux kernel version 2.6.4: https://lwn.net/Articles/75404/</ref>,[null],[null]
Dm-crypt / LUKS,Clemens Fruhwirth (LUKS),2005-02-05<ref></ref>,[null],[null]
DriveCrypt,SecurStar GmbH,2001,[null],<ref></ref>
DriveSentry GoAnywhere 2,DriveSentry,2008,[null],[null]
E4M,Paul Le Roux,1998-12-18<ref></ref>,[null],[null]
e-Capsule Private Safe,EISST Ltd.,2005,[null],[null]
eCryptfs,Dustin Kirkland  Tyler Hicks  (formerly Mike Halcrow),2005<ref></ref>,[null],[null]
EgoSecure HDD Encryption,EgoSecure GmbH,2006,[null],[null]
EncFS,Valient Gough,2003<ref></ref>,[null],[null]
EncryptStick,ENC Security Systems,2009,[null],[null]
FileVault,Apple Inc.,2003-10-24,[null],[null]
FileVault 2,Apple Inc.,2011-07-20,[null],[null]
FREE CompuSec,CE-Infosys,2002,[null],[null]
FreeOTFE,Sarah Dean,2004-10-10<ref></ref>,[null],[null]
GBDE,Poul-Henning Kamp,2002-10-19<ref></ref>,[null],[null]
GELI,Pawel Jakub Dawidek,2005-04-11<ref></ref>,[null],[null]
GnuPG,Werner Koch,1999-09-07<ref>Release Notes. GnuPG</ref>,[null],[null]
gocryptfs,Jakob Unterwurzacher,2015-10-07<ref></ref>,[null],[null]
Knox,AgileBits,2010,[null],[null]
KryptOS,The MorphOS Development Team,2010,[null],[null]
LibreCrypt,tdk,2014-06-19<ref></ref>,[null],[null]
Loop-AES,Jari Ruusu,2001-04-11,[null],[null]
McAfee Drive Encryption (SafeBoot),McAfee  LLC,2007<ref></ref>,[null],[null]
n-Crypt Pro,n-Trance Security Ltd,2005,[null],[null]
NetLib Encryptionizer (directory encryption),NetLib Security,1987,[null],[null]
Nodrive (Virtual Encrypted Disk),Hidden Solutions,2018,[null],[null]
PGPDisk,PGP Corporation (acquired by Symantec in 2010),1998-09-01<ref></ref>,[null],[null]
Private Disk,Dekart,1993<ref></ref>,[null],[null]
ProxyCrypt,v77,2013,[null],[null]
R-Crypto,R-Tools Technology Inc,2008,[null],[null]
SafeGuard Easy,Sophos (Utimaco),1993<ref></ref>,[null],[null]
SafeGuard Enterprise,Sophos (Utimaco),2007<ref></ref>,[null],[null]
SafeGuard PrivateDisk,Sophos (Utimaco)<ref name="LenovoPrivateDisk">Rebranded as ThinkVantage Client Security </ref>,2000,[null],[null]
SafeHouse Professional,PC Dynamics  Inc.,1992,[null],[null]
Scramdisk,Shaun Hollingworth,1997-07-01,[null],[null]
Scramdisk 4 Linux,Hans-Ulrich Juettner,2005-08-06<ref></ref>,[null],[null]
SecuBox,Aiko Solutions,2007-02-19,[null],[null]
SECUDE Secure Notebook,SECUDE,2003,[null],[null]
SecureDoc,WinMagic Inc.,1997,[null],[null]
Seqrite Encryption Manager,Quick Heal Technologies Ltd.,2017,[null],[null]
Sentry 2020,SoftWinter,1998<ref></ref>,[null],[null]
Softraid / RAID C,OpenBSD,2007-11-01<ref></ref>,[null],[null]
SpyProof!,Information Security Corp.,2002,[null],[null]
Svnd / Vnconfig,OpenBSD,2000-12-01<ref></ref>,[null],[null]
Symantec Endpoint Encryption,Symantec Corporation,2008,[null],[null]
Tcplay,Alex Hornung,2012-01-28<ref></ref>,[null],[null]
Trend Micro Endpoint Encryption (Mobile Armor),Trend Micro<ref>Trend Micro</ref>,2004 or earlier<ref></ref>,[null],[null]
TrueCrypt,TrueCrypt Foundation,2004-02-02<ref></ref>,<ref></ref>,[null]
USBCrypt,WinAbility Software Corp.,2010,[null],[null]
VeraCrypt,IDRIX,2013-06-22<ref></ref>,<ref></ref> TrueCrypt License Version 3.0 (legacy code only),[null]
CyberSafe Top Secret,CyberSoft,2013,[null],[null]
Name,Developer,First released,Licensing,Maintained?
