Name,Windows NT,Windows Mobile (incl.Pocket PC),FreeBSD,Linux,Mac OS X,NetBSD,OpenBSD,DragonFly BSD,Android,iOS
Aloaha Crypt Disk,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BestCrypt Volume Encryption,[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],[null]
BitArmor DataControl,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitLocker,[null],[null],[null],<ref name=dislocker>https://github.com/Aorimn/dislocker FUSE driver to read/write Windows BitLocker-ed volumes under Linux / Mac OSX</ref>,<ref name=dislocker />,[null],[null],[null],[null],[null]
Bloombase Keyparc,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Boxcryptor,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CenterTools DriveLock,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CGD,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Check Point Full Disk Encryption,[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],[null]
CipherShed,[null],[null],<ref>http://www.truecrypt.org/misc/freebsd Although CipherShed can be built under FreeBSD  it is not recommended to run it because of bugs and instabilities when CipherShed is attempted to be used</ref>,[null],[null],[null],[null],[null],<ref name="play.google.com">https://play.google.com/store/apps/details?id=com.sovworks.edslite Third party app allows to open containers encryptes with AES-256  SHA-512 hash and FAT file system</ref>,[null]
CrossCrypt,<ref>CrossCrypt - Only for the Microsoft Windows XP/2000 operating systems</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null]
CryFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cryhod,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cryptainer,[null],<ref>http://cypherix.com/downloads.htm PocketPC freeware release- SmartPhone beta available</ref>,[null],[null],[null],[null],[null],[null],[null],[null]
CryptArchiver,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cryptic Disk,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
