Name,Creator,First public release date,Latest stable version,Software license
Ddoc,Walter Bright,2005/09/19,DMD 2.078.3,[null]
Document! X,Innovasys,1998,2014.1,[null]
Doxygen,Dimitri van Heesch,1997/10/26,1.8.14,[null]
Epydoc,Edward Loper,2002/01/—,3.0 (2008),[null]
fpdoc (Free Pascal Documentation Generator),Sebastian Guenther,2005?,2.6.4,[null]
Haddock,Simon Marlow,2002,2.13.1 (2012),[null]
HeaderDoc,Apple Inc.,2000/09/—,8.9.28,[null]
Imagix 4D,Imagix Corp.,1995,7.3,[null]
Javadoc,Sun Microsystems,1995,1.6,[null]
ScalaDoc,LAMP  EPFL,2011,1.0,[null]
JSDoc,Michael Mathews,2001/07/—,1.10.2,[null]
JsDoc Toolkit,Michael Mathews,2007?,2.0.0,[null]
mkd,Jean-Paul Louyot,1989,2015,[null]
Natural Docs,Greg Valure,2003/05/26,2.0.2,[null]
NDoc,Jason Diamond  Jean-Claude Manoli  Kral Ferch,2003/07/27,1.3.1,[null]
Pandoc,John MacFarlane,2006,1.14.0.3 (2015),[null]
pdoc,Andrew Gallant,2013,0.5.1,[null]
perldoc,Larry Wall,1994,5.16.3,[null]
phpDocumentor,Joshua Eichorn,2000,1.4.4,[null]
pydoc,Ka-Ping Yee<ref>http://zesty.ca/cv.html</ref><ref>https://www.python.org/dev/peps/pep-0256/</ref>,2000,in Python core,[null]
RDoc,Dave Thomas,2001/12/14,in Ruby core,[null]
ROBODoc,Frans Slothouber,1995/01/19,4.99.36,[null]
Sandcastle,Microsoft,2008/05/—,2014.5.31.0,[null]
Sphinx,Georg Brandl,2008/03/21,1.6.3,[null]
Visual Expert,Novalys,1995,2017,[null]
VSdocman,Helixoft,2003 Oct 2,9.0,[null]
YARD,Loren Segal,2007/02/24,0.7.3,[null]
Name,Creator,First public release date,Latest stable version,Software license
