Ionizing radiation dosimeters,Device,Photo,Mfg. country,Size  mm,Weight  g,Power supply,Display,Sound,Vibration,Detector type,Range  μSv/h,Range  μR/h,Measurement time  seconds,Measuring of beta radiation and range of energy,PC link,Extra features
SA-05A<ref name=Allimann.com>Allimann.com</ref>,[null],Switzerland,119x65x26.5,135,Built-in lithium polymer battery,LCD,[null],[null],Geiger–Müller tube LND 713,0.01–6000,[null],1–60,0.05–1.3 MeV,[null],Clock  calendar and data logger,[added]
ANRI 01-02 Sosna<ref>Дозиметр-радиометр АНРИ-01-02 "Сосна"</ref>,[null],Russia,133x82x45,350,Nine-volt battery,LCD,[null],[null],Two to four Geiger–Müller tubes,0.1–100,10–104,20±5,[null],[null],[null],[added]
DKG-RM1203M<ref>Polimaster DKG-RM1203M or find a current model at Polimaster Ltd.</ref>,[null],Belarus,125x42x24,90,Two LR44,LCD,[null],[null],Geiger–Müller tube,0.01–2000,1–2*105,?,[null],[null],Clock with alarm,[added]
MKS-05 «Terra-P»,[null],Ukraine,120×52×26,150,Two AAA,LCD,[null],[null],Geiger–Müller tube,0.1–1000,10–105,5–70,[null],[null],Clock with alarm  cover as option,[added]
MKS-05 «Terra» (New edition),[null],Ukraine,120×52×26,150,Two AAA,LCD with backlight,[null],[null],Geiger–Müller tube,0.1–104,10–106,1–70,[null],[null],Clock with alarm  cover,[added]
DKR-04,[null],?,74х48х16,50,AAA,LCD,[null],[null],Semiconductor,0.1–106,10–108,4–256,[null],[null],[null],[added]
Radex RD1503  RD1503+,[null],Russia,105х60х26,90,One or two AAA,LCD with backlight,[null],[null],Geiger–Müller tube,0.05–10,5–1000,up to 40,[null],[null],[null],[added]
Radex RD1706,[null],Russia,105х60х26,90,One or two AAA,LCD with backlight,[null],[null],Two Geiger–Müller tubes,0.05–1000,5–105,1–26,[null],[null],Background mode,[added]
Radex RD1212,[null],Russia,97x68x24,80,One or two AAA,LCD with backlight,[null],[null],One Geiger–Müller tube,0.05–999,5–105,1–10,[null],[null],Background mode  integrated flashlight  time and date functions  multilingual,[added]
Radex RD1008,[null],Russia,140х64х26,175,AA,LCD with backlight,[null],[null],Two Geiger–Müller tubes,0.1–1000,2–120,2–21,[null],[null],Background mode  separated indication of beta and gamma radiation,[added]
newspaper=X-Z LAB|language=en-US|access-date=2016-11-14}}</ref>,[null],China,69x46x17,60,Built-in lithium ion battery,LCD with backlight,[null],[null],YSO scintillator + SiPM,0.5–5000,50–5*105,< 8,[null],[null],Dose equivalent rate + accumulated dose meter  pager-like clip  time and date functions  data logging and export (via Mac/PC software),[added]
newspaper=X-Z LAB|language=en-US|access-date=2016-11-14}}</ref>,[null],China,69x46x17,60,Built-in lithium-ion battery,LCD with backlight,[null],[null],YSO scintillator + SiPM,0.01–1000,1–105,< 2,[null],[null],Dose equivalent rate + accumulated dose meter  pager-like clip  time and date functions  data logging and export (via Mac/PC software),[added]
newspaper=X-Z LAB|language=en-US|access-date=2016-11-14}}</ref>,[null],China,69x46x17,60,Built-in lithium-ion battery,LCD with backlight,[null],[null],YSO scintillator + SiPM,0.1–105,10–107,< 6,[null],[null],Dose equivalent rate + accumulated dose meter  pager-like clip  time and date functions  data logging and export (via Mac/PC software),[added]
RKSB-104,[null],Belarus,154х77х39,350,Nine-volt battery,LCD,[null],[null],Two Geiger–Müller tubes,0.1–100,10–2*104,18–400,[null],[null],[null],[added]
DKG-RM1610,[null],Belarus,58х58х18,70,Built-in accumulator,LCD,[null],[null],One Geiger–Müller tube,0.01–1.2*106,1–1.2*108,?,[null],[null],Shock protection,[added]
EcotestCARD,[null],Ukraine,[null],80,CR2450,LCD,[null],[null],Semiconductor,0.1–106,10–108,?,?,[null],[null],[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
