Reader,Plain text,PDF,ePub,HTML,Mobi- Pocket,Fiction- Book (fb2),DjVu,Broadband eBook (BBeB)<ref group=h name=propr>Proprietary format</ref>,eReader<ref group=h name=propr/>,Kindle<ref group=h name=propr/>,WOLF<ref group=h name=propr/>,Tome Raider<ref group=h name=propr/>,Open eBook<ref group=h>Predecessor of ePUB</ref>,Comic Book,OpenXPS
Amazon Kindle 1,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Amazon Kindle 2  DX,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Amazon Kindle 3,[null],[null],<ref group=h name=3part>Yes  if the Duokan alternate Kindle OS (third-party software add-on) is used.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Amazon Kindle Fire,[null],[null],<ref group=h>By adding epub capable apps  such as Aldiko</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Android Devices,[null],[null],[null],[null],<ref group=h name=firm>Requires latest firmware</ref><ref></ref>,[null],<ref group=h name=firm/><ref></ref>,[null],<ref group=h name=firm/><ref></ref>,[null],[null],<ref group=h name=firm/><ref name="tomeraider.com"/>,<ref group=h name=firm/>,[null],[null]
Apple iOS Devices,[null],[null],[null],[null],<ref group=h name=firm/>,<ref group=h name=firm/>,<ref group=h name=firm/>,[null],<ref group=h name=firm/>,<ref group=h name=firm/>,[null],<ref group=h name=firm/>,<ref group=h name=firm/>,<ref group=h>With third party apps  such as CloudReader</ref>,[null]
Azbooka WISEreader,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Barnes & Noble Nook,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Barnes & Noble Nook Color,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bookeen Cybook Gen3  Opus,[null],[null],<ref group=h name=epmb>Versions support either ePUB or MobiPocket</ref>,[null],<ref group=h name=epmb/>,<ref group=h>Only ePUB version and with FW 2.0+</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null]
COOL-ER Classic,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Linux Operating System,[null],[null],[null],[null],[null],<ref group=h>KDE's Okular supports fb2</ref>,[null],<ref group=h>Calibre supports lrf/lrx</ref>,[null],[null],[null],[null],[null],[null],[null]
Foxit eSlick,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Hanlin e-Reader V3,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Hanvon WISEreader,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
iRex iLiad,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Iriver Story,[null],[null],[null],[null],[null],<ref group=h name=firm/>,<ref group=h name=firm/>,[null],[null],[null],[null],[null],[null],[null],[null]
Kobo eReader,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Nokia N900,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NUUTbook 2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OLPC XO  Sugar,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Onyx Boox 60,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Mac OS X,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
TrekStor eBook Reader Pyrus<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Windows,[null],[null],[null],[null],[null],<ref group=h>ICE Book Reader for Windows supports fb2</ref>,[null],[null],[null],<ref group=h>DRM-protected publications are supported as of Kindle for PC v1.3.0</ref>,[null],[null],[null],<ref group=h>Comic Book Reader for Windows</ref>,<ref group="h">XP or later  not on Windows 2000</ref>
Pocketbook 301 Plus  302  360°,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pocketbook Aqua,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Sony Reader,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Viewsonic VEB612,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Windows Phone 7,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
