Client,Play While Downloading,PowerShare<ref>http://wiki.emule-web.de/index.php/Powershare</ref>,Dynamic Upload,SUQWT<ref>http://wiki.emule-web.de/index.php/Save_Upload_Queue_Waiting_Time</ref>,SubChunk Transfer,Drop Sources,Push small files,ZZ ratio<ref>http://wiki.emule-web.de/index.php/ZZratio</ref>,AntiLeech,IPFilter,Slot Control
aMule,[null],<ref name=amulerelease></ref>,[null],[null],[null],[null],[null],[null],<ref group="N">There's no AntiLeech for official aMule. Some users released an unofficial aMule with DLP (ref.).</ref>,[null],[null]
eMule,Official,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Osp,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
AnalyZZUL,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
beba,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Magic Angel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Mephisto,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MorphXT,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NeoMule,[null],[null],[null],[null],[null],(including IpBlock),[null],[null],[null],[null],[null]
ScarAngel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SharkX,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Sivka,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Spike2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
StulleMule,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Xtreme,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
X-Ray,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ZZUL,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ZZUL BastarD,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
eMule Plus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Lphant,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MLDonkey,[null],[null],[null],(No queue),[null],[null],[null],[null],[null],[null],(user selects number of slots)
Shareaza,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
xMule,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Client,Play While Downloading,PowerShare,Dynamic Upload,SUQWT,SubChunk Transfer,Drop Sources,Push Small files,ZZ Ratio,AntiLeech,IPFilter,Slot Control
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
