Word processor,Apple,Atari,CP/M,CPT,Commodore 64,HP,IBM PC,Kaypro,Macintosh,Morrow,IBM PCjr,Rainbow 100,TI Professional,Tandy,ZX Spectrum
Tasword,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Homeword,II  IIc IIe,800,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
MacWrite,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Pfs:Write,II  IIc IIe,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
AtariWriter,[null],800XL  1200,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
OMNIWRITER,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Word Juggler,II IIe III,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
PC-Write,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Wordvision,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Volkswriter deluxe,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Perfect Writer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Plu Perfect,[null],[null],[null],[null],[null],[null],[null],2.4.10,[null],[null],[null],[null],[null],[null],[added]
Wordstar,II IIe,[null],[null],[null],[null],110.150,[null],[null],[null],[null],[null],[null],[null],TRS-80,[added]
Newword,IIe,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Appleworks,II  IIe,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
AppleWriter,II  IIe  III,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
III E-Z Pieces,III,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Symphony,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Framework,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
XY Write II+,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
WordPerfect,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Tandy 2000,[added]
Microsoft Word,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Tandy 2000,[added]
CPT Word Processors,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
