Name,Creator,FOSS,Free,First public release date,Year of latest stable version,Windows,Macintosh,Linux,Other platforms,Max Supported File Size
Beyond Compare,Scooter Software<ref name="ScooterSoftware">Scooter Software</ref>,; Proprietary,[null],1996,2019-12-2 (v4.3.3),[null],[null],[null],[null],> 2GB (64 bits)
Compare++,Coode Software<ref name="Coode Software">Coode Software</ref>,; Proprietary,[null],2010,2014-11-12 (2.21.2.0),<ref>Compare++ Operating system information</ref>,[null],[null],[null],[null]
diff  diff3,AT&T,; BSD 3-clause  BSD 4-clause  CDDL  GPL  Proprietary,[null],1974,[null],[null],(Mac OS X),[null],ported to most platforms as part of SCCS,> 2GB but less than 64 bits
Eclipse (compare),[null],; Eclipse Public License,[null],2004-07-21,2016-09-28 (4.6.1 (Neon.1)),[null],[null],[null],Anything with Java,[null]
Ediff,Michael Kifer<ref name="Delorie.com">Michael Kifer</ref>,; GPL,[null],1994,2.81.4,<ref>Ediff requires a diff utility to function. As of December 2017  diff is not bundled with Emacs or Windows  so use of Ediff in a Windows environment requires installation of both Emacs and a diff implementation like GNU diff.</ref>,(Mac OS X),[null],Anything with Emacs and diff,[null]
ExamDiff Pro,PrestoSoft<ref name="PrestoSoft">PrestoSoft</ref>,; Proprietary,[null],1998,2017-09-23 (v 9.0.1.6),(Win98 and up),[null],[null],[null],[null]
Far Manager (compare),Eugene Roshal (original); FAR Group,; Revised BSD license,[null],1996,2017-08-07 (v3.0 build 5000),[null],[null],[null],[null],[null]
fc,Microsoft<ref name="Microsoft">Microsoft</ref>,; Proprietary,; Part of OS,1987,[null],(DOS),[null],[null],[null],[null]
FileMerge (aka opendiff),Apple Inc.,; Proprietary,; (part of Apple Developer Tools),1993 (part of NEXTSTEP 3.2<ref></ref>),2014 (v2.8),[null],(Mac OS X),[null],[null],[null]
FreeFileSync,Zenju,; GPLv3,[null],2008,2019-09-16 (v10.16),[null],[null],[null],[null],[null]
Guiffy SureMerge,Guiffy Software<ref name="Guiffy Software">Guiffy Software</ref>,; Proprietary,[null],2000,2019-10-01 (v11.11),[null],[null],[null],Anything with Java,> 2GB
IntelliJ IDEA (compare),JetBrains<ref name="JetBrains">JetBrains</ref>,; Proprietary,[null],2001,2019-08-20 (2019.2.1),[null],[null],[null],[null],[null]
jEdit JDiff plugin,Various<ref name="jedit">jedit.org</ref>,; GPL,[null],1998,2012-10-04 (3.3.0),[null],[null],[null],Anything with Java,[null]
Kompare,Otto Bruggeman<ref name="Otto Bruggeman"></ref>,; GPLv2+,[null],[null],[null],<ref name="Installing Kompare in Windows">Installing Kompare in Windows</ref>,(Mac OS X),[null],[null],[null]
Lazarus Diff,Lazarus (software),; GPL,[null],2000,2016-11-13 (1.6.2),[null],[null],[null],FreeBSD,[null]
Meld,Stephen Kennedy<ref name="Stephen Kennedy">Stephen Kennedy</ref>,; GPLv2+,[null],2002,2019-03-31 (3.20.1),<ref>Meld/Windows</ref>,[null],[null],BSD  Solaris,[null]
Notepad++ (compare),Various,; GPLv3,[null],2009,2015-01-06 (1.5.6.6),<ref>Notepad++ compare plugin</ref>,[null],[null],[null],[null]
Perforce P4Merge,Perforce,; Proprietary,[null],[null],2019 (2019.1/1815056),[null],[null],[null],Sun Solaris,[null]
Pretty Diff,Austin Cheney<ref>Pretty Diff</ref>,; MIT-compatible,[null],2009,2016-11-11 (2.1.14),(Web),(Web),(Web),Node.js,[null]
Tkdiff,Tkdiff<ref name="Tkdiff">tkdiff</ref>,; GPLv2+,[null],2003 (or before),2011-11-27 (v4.2),(Tcl),(Tcl),(Tcl),Anything with Tcl,[null]
Total Commander (compare),Christian Ghisler<ref name="Christian Ghisler">Christian Ghisler</ref>,; Proprietary,[null],[null],2016-11-23 (v9.00),[null],[null],[null],[null],[null]
twdiff (TextWrangler Diff Helper),Bare Bones Software  Inc.<ref>Bare Bones Software  Inc.</ref>,; Proprietary,; with TextWrangler,[null],2012 (1.0 (v22)),[null],[null],[null],[null],[null]
vimdiff,Bram Moolenaar et al.,; GPL-compatible <ref>vim license</ref>,[null],2001,2016-10-03 (v8.0.0022),[null],[null],[null],Anything with vim,[null]
WinDiff,Microsoft<ref>Microsoft</ref>,; Proprietary,; Part of Platform SDK,1992,2002-08-16 14:36:14 (v5.00.2195.6601),[null],[null],[null],[null],[null]
WinMerge,Dean Grimm<ref>Dean Grimm</ref>,; GPL,[null],1998,2018-11-22 (v2.18.0),(Win95 and up),(in wine<ref name="WinMerge in Wine">WinMerge in Wine</ref>),(in wine<ref name="WinMerge in Wine"/>),[null],2 GB
UCC,USC CSSE<ref>USC CSSE</ref>,; USC-CSSE Limited Public License,[null],2009,2015-12-30 (2015.12),[null],[null],{2.6.9},Sun Solaris,[null]
Name,Creator,FOSS,Free,First public release date,Year of latest stable version,Windows,Macintosh,Linux,Other platforms,Max Supported File Size
