Name,ZIP support,FTP support,SFTP support,Version Control browsing,Patch creation,Patch application,Patch preview,Unicode support,XML-aware
Beyond Compare,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Compare++,[null],[null],[null],[null],[null],[null],[null],[null],[null]
diff,[null],[null],[null],[null],[null],with patch,with patch,[null],[null]
diff3,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Eclipse (compare),[null],[null],[null],CVS  Subversion  Git  Mercurial  Baazar,[null],[null],[null],[null],[null]
Ediff,[null],[null],[null],<ref>gnu.org Support-for-Version-Control</ref>,[null],[null],[null],[null],[null]
ExamDiff Pro,<ref>through a plug-in</ref>,<ref>through a plug-in</ref>,[null],[null],[null],[null],[null],[null],[null]
Far Manager (compare),[null],[null],[null],[null],[null],[null],[null],[null],[null]
fc,[null],[null],[null],[null],[null],[null],[null],[null],[null]
FileMerge (aka opendiff),[null],[null],[null],[null],[null],[null],[null],[null],[null]
Guiffy SureMerge,[null],[null],[null],[null],[null],[null],[null],<ref>UTF8  UTF16  MBCS  SJIS  over 150 file encoding and character set formats</ref>,[null]
IntelliJ IDEA (compare),[null],[null],[null],[null],[null],[null],[null],[null],[null]
jEdit JDiff plugin,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Kompare,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Lazarus Diff,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Meld,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Notepad++ (compare),[null],[null],[null],[null],[null],[null],[null],[null],[null]
Perforce P4Merge,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pretty Diff,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tkdiff,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Total Commander (compare),[null],[null],[null],[null],[null],[null],[null],[null],[null]
vimdiff,[null],[null],[null],[null],[null],[null],[null],[null],[null]
WinDiff,[null],[null],[null],[null],[null],[null],[null],[null],[null]
WinMerge,[null],[null],[null],</ref> Subversion <ref></ref> Visual Source Safe  Rational ClearCase<ref></ref>}},[null],[null],[null],[null],[null]
UCC,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Name,ZIP support,FTP support,SFTP support,Version Control browsing,Patch creation,Patch application,Patch preview,Unicode support,XML-aware
