Name,Creator,First public version (date),Latest stable version (date  number),Cost,Software license
Altap Salamander,Altap,[null],(4.0),[null],[null]
Commander One,Eltima Software,[null],(2.3),[null],[null]
CRAX Commander,Soft4U2,[null],(1.11.1),[null],[null]
Directory Opus,Jonathan Potter  GPSoftware,Amiga: v1 (1990-01-03) Windows: v6 (2001-06-18),(12.11),[null],[null]
Dired,integral part of Emacs  part of the GNU project,1974?,(7.17),[null],[null]
Dolphin,KDE,(0.5),[null],[null],[null]
DOS Navigator,Ritlabs,1991 (0.90),1999 (1.51),[null],[null]
DOS Shell,Microsoft / IBM,1988,1998,[null],[null]
Double Commander,Alexander Koblov (alexx2000) and others,2007,(0.9.5),[null],[null]
emelFM2,tooar,[null],(0.9.1),[null],[null]
Explorer++,David Ercig,[null],(1.3.5),[null],[null]
Far Manager,Eugene Roshal (original); Far Group,1996,[null],[null],[null]
File Commander,Brian Havard,1993,(2.40),[null],[null]
File Explorer<ref>previously known as Windows Explorer</ref>,Microsoft,[null],[null],[null],[null]
File Manager,Microsoft (Ian Ellison-Taylor),1990,(10.0.1901.1)<ref name="WinfileGithub" />,[null],<ref name="WinfileGithub" />
Files (Apple),Apple Inc.,[null],[null],[null],[null]
Files by Google,Google LLC,[null],[null],[null],[null]
GeoManager,Berkeley Softworks<ref>Later renamed to 'GeoWorks Corporation'</ref>  Breadbox Ensemble<ref>foundes as 'Breadbox Computer Company'</ref>,1990,2009,[null],[null]
Finder,Apple Inc.,[null],(10.10.5),[null],[null]
fman,Michael Herrmann,[null],(1.5.8),[null],[null]
ForkLift,BinaryNights,[null],(3.2.2),[null],[null]
gentoo,Emil Brink,[null],(0.19.13),[null],[null]
GNOME Commander,GNOME Commander,[null],(1.6.4),[null],[null]
GNOME Files<ref>formerly and known as Nautilus</ref>,Eazel,[null],[null],[null],[null]
Konqueror,KDE,[null],[null],[null],[null]
Krusader,Krusader Krew,[null],[null],[null],[null]
Midnight Commander<ref>also known as mc</ref>,GNU Midnight Commander,< May 1994<ref>The exact history is unknown. This date comes from changelog entries in the src/TODO file in the Git repository (SHA1: eb6b3842a). But it is probably earlier than that. Dec 1997 was release v4.1 already.</ref>,(4.8.22),[null],[null]
muCommander,Maxence Bernard,[null],(0.9.3),[null],[null]
Nemo,Linux Mint,(1.0.0),December 11  2018 (4.0.5)<ref></ref>,[null],[null]
Nomad.NET,Eugene Sichkar,<br /> (2.2.0.537 beta),(3.2.0.2890),[null],[null]
Norton Commander,Peter Norton Computing  later Symantec corporation,1986,(2.01 Windows DOS: 1998-07-01 (5.51)),[null],[null]
Path Finder<ref>originally known as 'SNAX'</ref>,Cocoatech,[null],(7),[null],[null]
PathMinder,Albert Nurick and Brittain Fraley,1984,1988 (4.11),[null],[null]
PCManFM,Hong Jen Yee,[null],(1.2.4),[null],[null]
PC Shell,Central Point Software,1986,[null],[null],[null]
ROX-Filer,Thomas Leonard et al.,Before,(2.11),[null],[null]
SpaceFM,IgnorantGuru,(0.5.0),(1.0.5),[null],[null]
STDU Explorer,STDUtility,[null],(1.0.465),[null],[null]
Tabbles,Yellow blue soft UAB,[null],(3.1.29),[null],[null]
Thunar,Xfce,[null],(1.8.0)<ref></ref>,[null],[null]
Total Commander<ref>Originally known as 'Windows Commander'</ref>,Christian Ghisler,(1.00d),(9.22a),<ref name="demo" />,[null]
ViewMAX,Digital Research / Novell,1990 (1.0),1993 (3.0),[null],[null]
Volkov Commander,Vsevolod Volkov,circa 1992,[null],[null],[null]
WinSCP,WinSCP,[null],[null],[null],[null]
Xandros File Manager,Xandros Corporation,[null],(4.2),[null],[null]
Xfe,Roland Baudin,2002,(1.43.1),[null],[null]
Xfile,Rixstep,[null],(1.8.0),[null],[null]
Xfm,Simon Marlow  Albert Gräf  Till Straumann <br />Robert Vogelgesang  Juan D. Martin,1992,(1.4.3),[null],[null]
xplorer²,Nikos Bozinis,[null],(3.5.0.2),[null],[null]
XTree,Jeffery C. Johnson,[null],(Xtree for Windows),[null],[null]
XYplorer,Donald Lessau,1997,(19.30.0000),[null],[null]
ZTreeWin,Kim Henkel,1996,(2.1.19) (2.4.121 beta) (2.4.172 zeta),[null],[null]
