Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
Conduit,Python,Linux  FreeBSD,GPL,0.3.17 (2010-01-21),[null],[null],[null],[null],[null],[null],Synchronizes files  website  network apps
DirSync Pro,Java,Java SE,GPLv3,1.53 (2018-03-07),[null],[null],[null],[null],(creates backup files),(native + via OS),sym-links  filter  metadata  contents  auto-sync
FreeFileSync,C++,Windows  OS X  Linux,GPL,10.19 (2019-12-27),(Donation Edition)<ref name="freefilesync-portable-edition"></ref>,<ref name="freefilesync-features"></ref>,<ref name="freefilesync-features"/>,<ref name="freefilesync-features"/>,(versioning + recycler)<ref name="freefilesync-features"/>,[null],Older version had OpenCandy Adware/malware  but now funded by donations.<ref name=backup_review></ref> <ref name=FFS-FAQ></ref>
iFolder,C#  Mono,Windows  OS X  Linux  Solaris,GPL,3.8.0.3 (2010-07-19),[null],(centralized database),(files  not folders),[null],[null],[null],[added]
InterPlanetaryFileSystem,Go,Windows  OS X  Linux,GPL,0.4.15 (2018-05-12),[null],[null],[null],(Planned)<ref></ref>,[null],[null],[added]
luckyBackup,C++,Windows  OS X  Linux  FreeBSD,GPLv3,0.4.9 (2017-10-17),[null],[null],[null],[null],[null],[null],Uses rsync backend
Nextcloud,PHP  C++  JavaScript<ref></ref>,Server: Linux Clients: Windows  OS X  Linux  Android  iOS,AGPLv3,17.0.1 (2019-11-07),[null],[null],[null],<ref name="nextcloud-propagate-deletes/android"></ref>,[null],[null],Fork of ownCloud and actively maintained Windows Phone App
OneSync,C#,Windows,GPL,4.0 (2012-02-19),[null],[null],[null],[null],[null],[null],[added]
ownCloud community edition,PHP  C++  JavaScript<ref name=":0"></ref>,Server: Linux  FreeBSD Clients: Windows  OS X  Linux  FreeBSD  Android  iOS,AGPLv3 (Server Edition) / proprietary (Enterprise Edition),[null],[null],[null],[null],<ref name="owncloud-propagate-deletes"></ref>,[null],[null],iOS  Android  Blackberry  Win  Mac  Linux Client; external storage support; encryption app; app framework
Pydio Open source home,Server: PHP  Python  C++ Clients: JS  C#  Swift  Java,Windows  OS X  Linux  Android  iOS,AGPLv3,8.0.2 (2017-12-13),[null],[null],[null],[null],(Git<ref></ref>),[null],[added]
rsync,C in a Unix-Linux shell,Windows  OS X <ref></ref> Linux <ref></ref><ref></ref> BSD,GPL v3,[null],[null],[null],[null],[null],[null],(via OS),client & server operation. Multiple comparison criteria (date  check-sum).
Seafile community edition,C99  Python<ref></ref>,Server: Linux  Raspbian  Windows Clients: Linux  OS X  Windows  Android  iOS.<ref></ref>,AGPLv3 (Server) + Apache License 2.0 (Client),[null],[null],[null],[null],[null],[null],(via Seafile Client),Android and iOS mobile clients
SparkleShare,C#,Windows  OS X  Linux  Android  iOS,GPL v3 and LGPL,2.0.1 (2017-12-22),[null],[null],[null],[null],(Git<ref></ref>),[null],[added]
SymmetricDS,Java,Java SE,GPL,3.9.4 (2018-02-16),[null],[null],[null],[null],[null],[null],plug-in APIs for customization
Synchronizer (krusader),Windows  OS X  Linux,GPL v2,2.6.0 (2017-04-12),[null],[null],[null],[null],[null],[null],Synchronizer no longer in active development,[added]
Syncthing,Go,Windows  OS X  Linux  Android  BSD  Solaris,MPL v2,1.3.2 (2019-12-3),[null],[null],[null],[null],[null],[null],Distributed peer-to-peer sync
Synkron,C++,Windows  OS X  Linux,GPL v2,1.6.2 (2011-01-25){<ref>https://sites.google.com/site/synkrondocumentation/news/synkron162</ref>},[null],[null],[null],[null],[null],[null],no longer in active development
Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
