File system,Host OS,Offline grow,Online grow,Offline shrink,Online shrink
FAT16 / FAT16B / FAT16X,misc.,<ref name="libparted">With software based on GNU Parted</ref>,[null],<ref name="libparted" />,[added]
FAT32 / FAT32X,misc.,<ref name="libparted" />,[null],<ref name="libparted" />,[added]
exFAT,misc.,[null],[null],[null],[added]
NTFS,Windows,[null],[null],[null],[added]
ReFS,Windows,[null],[null],[null],[added]
HFS+,macOS,[null],[null],[null],[added]
APFS,macOS,[null],[null],[null],[added]
HFS+,Linux,[null],[null],[null],[added]
SquashFS,Linux,[null],[null],[null],[added]
NOVA,Linux,[null],[null],[null],[added]
JFS<ref></ref>,Linux,[null],[null],[null],[added]
XFS<ref></ref>,Linux,[null],[null],[null],[added]
Lustre<ref name="wiki-faq-old"></ref>,Linux,[null],[null],[null],[added]
F2FS<ref>https://git.kernel.org/cgit/linux/kernel/git/jaegeuk/f2fs-tools.git/</ref>,Linux,[null],[null],[null],[added]
NTFS<ref></ref>,Linux,[null],[null],[null],[added]
ext2<ref name="unix.com"></ref>,Linux,[null],[null],[null],[added]
ext3<ref name="unix.com"/>,Linux,[null],[null],[null],[added]
ReiserFS<ref></ref>,Linux,[null],[null],[null],[added]
Reiser4<ref></ref>,Linux,[null],[null],[null],[added]
ext4<ref name="unix.com"/>,Linux,[null],[null],[null],[added]
Btrfs<ref> SUSE|url=https://www.suse.com/products/server/technical-information/|website=www.suse.com|accessdate=28 April 2018|language=en}}</ref>,Linux,[null],[null],[null],[added]
NILFS<ref></ref>,Linux,[null],[null],[null],[added]
ZFS,misc.,[null],[null],[null],<ref>Mirror and single-disk vdevs can be wholly removed from a pool  but not RAID-Z vdevs. </ref>
JFS2,AIX,[null],[null],[null],[added]
UFS2<ref></ref>,FreeBSD,[null],(FreeBSD 10.0-RELEASE or later),[null],[added]
HAMMER,DragonflyBSD,[null],[null],[null],[added]
