File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
APFS,[null],[null],[null],(read-only with apfs-fuse<ref>https://github.com/sgan81/apfs-fuse</ref> or linux-apfs<ref>https://github.com/eafer/linux-apfs</ref>),[null],<br />(Since macOS Sierra),[null],[null],[null],[null],[null],[null]
BeeGFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DECtape,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Level-D,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RT-11,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Version 6 Unix file system (V6FS),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Version 7 Unix file system (V7FS),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
exFAT,[null],[null],(installable drivers for Windows XP  2003. Included with Windows Vista SP1 and newer.),(available as a kernel module or FUSE driver),[null],[null],(available as a FUSE driver),[null],[null],[null],(available as a FUSE driver),[null]
FAT12,[null],[null],[null],[null],[null],[null],[null],[null],[null],(via dosdir  dosread  doswrite),[null],[null]
FAT16 / FAT16B / FAT16X,(FAT16 from DOS 3.0  FAT16B from DOS 3.31  FAT16X from DOS 7.0),[null],[null],[null],[null],[null],[null],[null],[null],(via dosdir  dosread  doswrite  not FAT16X),[null],[null]
FAT32 / FAT32X,(from DOS 7.10),(from Windows 95 OSR2),(from Windows 2000),[null],?,[null],[null],[null],[null],[null],[null],[null]
GFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
HPFS,(with third-party drivers),[null],(with NT 3.1 to 4.0 only),[null],[null],[null],[null],(from OS/2 1.2),[null],[null],[null],[null]
NTFS,(with third-party drivers),(with 3rd-party drivers like Paragon NTFS for Win98  DiskInternals NTFS Reader),[null],with ntfs-3g,[null],natively read only  write support with Paragon NTFS or ntfs-3g,with ntfs-3g,[null],with ntfs-3g,[null],with ntfs-3g,[null]
Apple HFS,[null],[null],with Paragon HFS+ <ref name="Paragon HFS"></ref>,[null],[null],write support since Mac OS X 10.6 and no support at all since macOS 10.15,[null],[null],[null],[null],[null],[null]
Apple HFS Plus,[null],[null],with Paragon HFS+ <ref name="Paragon HFS"/>,- writing support only to unjournalled FS,from Mac OS 8.1,[null],[null],[null],[null],[null],[null],[null]
FFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
UFS1,[null],[null],(with ufs2tools  read only),- read only,[null],[null],[null],[null],[null],[null],[null],[null]
UFS2,[null],[null],(with ufs2tools  read only),[null],[null],[null],[null],[null],[null],[null],[null],[null]
LFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ext,[null],[null],[null],- until 2.1.20,[null],[null],[null],[null],[null],[null],[null],[null]
