Software,Developer,First public release,Latest stable date (version),Cost (USD),Open source,License,Linux,Mac OS X,Windows,Framework
7-Zip,Igor Pavlov,1999-07-19,2019-02-21,[null],[null],GNU LGPLv2.1+ with unRAR restriction / LZMA SDK in the public domain,[null],[null],[null],C++
AccuHash,Irnis Haliullin,[null],2008-11-06 (2.0.18),[null],[null],proprietary,[null],[null],[null],[null]
BeaverSFV,Karl-Johan Sjögren,2008-09-14,1.2,[null],[null],freeware,[null],[null],[null],.NET
CDCheck,Mitja Perko,2003,2008-04-10 (3.1.14.0),various,[null],proprietary,[null],[null],[null],VCL
Checksum Compare,Sanktu Aire,2012,2016-02-10 (v1.42),[null],[null],freeware,[null],[null],[null],Qt
Checksums,Acera AS,2015-05-12,2015-12-01 (1.0.2),[null],[null],freeware,[null],[null],[null],C++
cfv,Matthew Mueller,2000-06-22,2009-06-07 (1.18.3),[null],[null],GPL,[null],[null],[null],Python
CHK,Ilya Muravyov,2010,2019-09-20 (v3.21),[null],[null],freeware,[null],[null],[null],VCL
cksum,various (POSIX),[null],various,[null],[null],various,[null],[null],[null],C
CyoHash,Graham Bull,2009-09-01,2019-10-04 (2.4.0),[null],[null],BSD,[null],[null],[null],C++
Data Digester,Leisenfels,2013-03-14,2015-04-15 (1.6.15),[null],[null],proprietary,[null],[null],[null],Java
DeepDigest,Nick Stone,2012-03-24,2014-06-16 (1.3.27),[null],[null],GPL,[null],[null],[null],Qt
Double Commander,Alexander Koblov and others,2007,2019-02-16 (0.9.1),[null],[null],GPL,[null],[null],[null],Object Pascal (Free Pascal/Lazarus)
DySFV,Johan Sonesson,2007,2013-04-23 (1.4.0.0),[null],[null],GPL,[null],[null],[null],.NET
ExactFile,Brandon Staggs,2009,2009-02-23 (1.0.0.15),[null],[null],freeware,[null],[null],[null],VCL
eXpress CheckSum Calculator,Irnis Haliullin,2002,2002-12-27 (1.0),[null],[null],freeware,[null],[null],[null],[null]
FastSum,Kirill Zinov,2003,1.7.0.403 GUI/1.9.0.149 CLI,various,[null],freeware/shareware,[null],[null],[null],[null]
FCIV,Microsoft,[null],2004-05-17,[null],[null],freeware,[null],[null],[null],[null]
Febooti Hash & CRC,Febooti Software,2006,2015-09-25 (v3.7),[null],[null],freeware,[null],[null],[null],[null]
FileVerifier++,Tom Bramer,2006,2010-05-22 (0.6.3.5830),[null],[null],GPL,[null],[null],[null],[null]
FlashSFV,Charles DeWeese,2007,2007-07-22 (2.6),[null],[null],freeware/donationware,[null],[null],[null],[null]
FSUM,SlavaSoft,[null],2007-03-03 (2.52),[null],[null],freeware,[null],[null],[null],[null]
