License,Author,Latest version,Publication date,Linking,Distribution,Modification,Patent grant,Private use,Sublicensing,<abbr title="trademark">TM</abbr> grant
<br />,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Academic Free License<ref name="OSL/AFL 3.0"></ref>,Lawrence E. Rosen,3.0,2002,[null],[null],[null],[null],[null],[null],[added]
Affero General Public License,Affero Inc,2.0,2007,<ref name="affero gplv2"></ref>,<ref name="affero gplv2"/>,<ref name="affero gplv2"/>,[null],<ref name="affero gplv2"/>,[null],[added]
Apache License,Apache Software Foundation,2.0,2004,<ref name="apachev2s4"></ref>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>,<ref name="apachev2s4"/>
Apple Public Source License,Apple Computer,2.0,2003August 6  2003,[null],[null],[null],[null],[null],[null],[added]
Artistic License,Larry Wall,2.0,2000,[null],[null],[null],[null],[null],[null],[added]
Beerware,Poul-Henning Kamp,42,1987,[null],[null],[null],[null],[null],[null],[added]
BSD License,Regents of the University of California,3.0,[null],<ref name="bsdlicense"></ref>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>,<ref name="bsdlicense"/>
Boost Software License,[null],1.0,2003August 17  2003,[null],[null],[null],[null],[null],[null],[added]
Creative Commons Zero,Creative Commons,1.0,2009,<ref></ref><ref></ref>,[null],[null],[null],[null],[null],[added]
CC BY,Creative Commons,4.0,2002,<ref name="auto">cc-by-4-0-and-cc-by-sa-4-0-added-to-our-list-of-free-licenses (2015)</ref>,[null],[null],[null],[null],[null],[added]
CC BY-SA,Creative Commons,4.0,2002,<ref name="auto"/>,[null],[null],[null],[null],[null],[added]
CeCILL,CEA / CNRS / INRIA,2.1,2005June 21  2013,[null],[null],[null],[null],[null],[null],[added]
Common Development and Distribution License,Sun Microsystems,1.0,2004-12December 1  2004,[null],[null],[null],[null],[null],[null],[added]
Common Public License,IBM,1.0,2001May 2001,[null],[null],[null],[null],[null],[null],[added]
Cryptix General License,Cryptix Foundation,[null],1995,[null],[null],[null],[null],[null],[null],[added]
