License,Author,Latest version,Publication date
<br />,[null],[null],[added]
Eiffel Forum License,NICE,2,2002
freebsd,freebsd,1.0,2018
Intel Open Source License,Intel Corporation,[null],[added]
PHP License,PHP Group,3.01,[added]
RealNetworks Public Source License,RealNetworks,[null],[added]
Reciprocal Public License,Scott Shattuck,1.5,2007
Sun Industry Standards Source License,Sun Microsystems,[null],[added]
Sun Public License,Sun Microsystems,[null],[added]
Sybase Open Watcom Public License,Open Watcom,[null],2003-01-28
Zope Public License,Zope Foundation,2.1,[added]
[added],[added],[added],[added]
