License and version,FSF approval <ref name="ref_FSF"></ref>,GPL (v3) compatibility <ref name="ref_HasToBeCompatibleWithGPLv3&GPLv2"></ref><ref name="ref_GPL-compatible_List"></ref><ref name="ref_GPL-Incompatible_List"></ref><ref name="ref_GPL-compatible"></ref><ref name="ref_GPL-compatible_previous_version_definition"></ref>,OSI approval <ref name="ref_OSI"></ref>,Debian approval <ref></ref><ref></ref>,Fedora approval <ref></ref>
Academic Free License,[null],[null],[null],[null],[added]
Affero General Public License 3.0,[null],[null],[null],[null],[added]
Apache License 1.x,[null],[null],[null],[null],[added]
Apache License 2.0,[null],<ref name="apache2"></ref>,[null],[null],[added]
Apple Public Source License 1.x,<ref></ref>,[null],[null],[null],[added]
Apple Public Source License 2.0,[null],[null],[null],[null],[added]
Artistic License 1.0,<ref group="note">The original version of the Artistic License is defined as non-free because it is overly vague  not because of the substance of the license. The FSF encourages projects to use the Clarified Artistic License instead.</ref>,[null],[null],[null],[added]
Artistic License 2.0,[null],[null],[null],[null],[added]
Beerware License,<ref name="fsflist"></ref>,<ref name="fsflist" />,[null],[null],<ref></ref>
Original BSD license,[null],[null],<ref name="bsdlic"></ref>,[null],[added]
Modified BSD license,[null],[null],[null],[null],[added]
Zero-Clause BSD License,{{?}},{{?}},<ref name="osi"></ref>,{{?}},{{?}}
Boost Software License,[null],[null],[null],[null],[added]
CeCILL,[null],[null],[null],[null],[added]
Common Development and Distribution License,[null],<ref name="fsf"></ref><ref></ref><ref></ref><ref>Are GPLv2 and CDDL incompatible? on hansenpartnership.com by James E.J. Bottomley "What the above analysis shows is that even though we presumed combination of GPLv2 and CDDL works to be a technical violation  there's no way actually to prosecute such a violation because we can’t develop a convincing theory of harm resulting. Because this makes it impossible to take the case to court  effectively it must be concluded that the combination of GPLv2 and CDDL  provided you’re following a GPLv2 compliance regime for all the code  is allowable." (23 February 2016)</ref><ref></ref><ref>GPL Violations Related to Combining ZFS and Linux on sfconservancy.org by Bradley M. Kuhn and Karen M. Sandler (February 25  2016)</ref>,[null],[null],[added]
Common Public License,[null],[null],[null],[null],[added]
Creative Commons Zero,<ref name="auto1"></ref>,<ref name="auto1"/>,<ref></ref>,<ref></ref><ref></ref>,<ref name="auto2"></ref>
Creative Commons BY-SA 4.0,[null],<ref></ref>,{{?}},[null],{{?}}
Cryptix General License,[null],[null],[null],[null],[added]
Eclipse Public License,[null],[null],[null],[null],[added]
Educational Community License,[null],<ref name="ecl2"></ref>,[null],[null],[added]
Eiffel Forum License 2,[null],[null],[null],[null],[added]
European Union Public Licence,[null],<ref name="eupl-compat" />,[null],[null],{{?}}
GNU Affero General Public License,[null],<ref name="agplsection13"/><ref name="gplfsf">https://www.gnu.org/licenses/: "We use only licenses that are compatible with the GNU GPL for GNU software."</ref>,[null],[null],[added]
GNU General Public License v2,[null],<ref group="note">But can be made compatible by upgrading to GPLv3 via the optional "or later" clause added in most GPLv2 license texts.</ref><ref name="gpl2gpl3comp"/>,[null],[null],[added]
GNU General Public License v3,[null],<ref group="note">But not with GPLv2 without "or later" clause.</ref><ref name="gpl2gpl3comp"></ref>,[null],[null],[added]
GNU Lesser General Public License,[null],[null],[null],[null],[added]
GNU Free Documentation License,[null],<ref>https://lists.debian.org/debian-legal/2003/04/msg00258.html</ref>,<ref>https://spdx.org/licenses/</ref>,<ref></ref>,[added]
IBM Public License,[null],[null],[null],[null],[added]
Intel Open Source License,[null],[null],[null],[null],[added]
ISC license,<ref></ref>,[null],[null],[null],[added]
LaTeX Project Public License,[null],[null],[null],[null],[added]
Microsoft Public License,[null],[null],[null],[null],[added]
Microsoft Reciprocal License,[null],[null],[null],[null],[added]
MIT license / X11 license,[null],[null],[null],[null],[added]
Mozilla Public License 1.1,[null],[null],[null],[null],[added]
Mozilla Public License 2.0,[null],<ref group="note">MPL 2.0 is GPL compatible unless marked "Incompatible with Secondary Licenses".</ref><ref></ref>,[null],[null],[added]
NASA Open Source Agreement,[null],[null],[null],{{?}},[added]
Netscape Public License,[null],[null],[null],[null],[added]
Open Software License,[null],[null],[null],[null],[added]
OpenSSL license,[null],[null],[null],[null],[added]
PHP License,[null],[null],[null],[null],[added]
Python Software Foundation License 2.0.1; 2.1.1 and newer,[null],[null],[null],[null],[added]
Q Public License,[null],[null],[null],[null],[added]
Reciprocal Public License 1.5,[null],[null],[null],[null],[added]
Sleepycat License,[null],[null],[null],[null],[added]
Sun Industry Standards Source License,[null],[null],[null],[null],[added]
Sun Public License,[null],[null],[null],[null],[added]
Sybase Open Watcom Public License,[null],[null],[null],[null],[added]
Unlicense,<ref></ref>,<ref name="auto1"/>,<ref></ref>,[null],<ref name="auto2"/>
W3C Software Notice and License,[null],[null],[null],[null],[added]
Do What The Fuck You Want To Public License (WTFPL),<ref group="note">Listed as WTFPL.</ref>,[null],<ref></ref>,[null],[added]
XFree86 1.1 License,[null],<ref name="x"></ref>,[null],[null],[added]
zlib/libpng license,[null],[null],[null],[null],[added]
Zope Public License 1.0,[null],[null],[null],[null],[added]
Zope Public License 2.0,[null],[null],[null],[null],[added]
[added],[added],[added],[added],[added],[added]
