Software,Latest version,Latest release,Free to use,Free software,Software license,Windows,macOS,Linux,Android,iOS
Agelong Tree,4.7,2015-12-04,<br /> (40 Person Free Trial),[null],[null],[null],[null],[null],[null],[null]
Ahnenblatt,3.02,2019-06-07,(Free demo  50 person limit  watermarked reports; latest free version: 2.99j),[null],[null],[null],[null],[null],[null],[null]
Ancestral Quest,15.0.19,2019-02-25,<br /> (Basics version),[null],[null],[null],[null],[null],[null],[null]
Brother's Keeper,7.4.6,2019-12-27,<br /> (Unreg. ver.),[null],[null],[null],[null],[null],[null],[null]
Family Historian,6.2.7,2018-05-01,(30-Day Free Trial),[null],[null],[null],[null],[null],[null],[null]
Family Tree Builder,8.0,2016-08-12,<br /> (Free ver.),[null],[null],[null],[null],[null],[null],[null]
Family Tree Maker,2019 (24.0.1),2019-11,<br />,[null],[null],[null],[null],[null],[null],[null]
Family Tree,1.2.1,2013-10-05,[null],[null],[null],[null],[null],[null],[null],[null]
GEDitCOM II,2.3,2016-11-17,(15-Day Free Trial  Read-Only afterwards),[null],[null],[null],[null],[null],[null],[null]
Genbox Family History,3.7.1,2007-11-17,<br /> (30 Day Free Trial),[null],[null],[null],[null],[null],[null],[null]
GenealogyJ,3.0,2010-02-18,[null],[null],[null],}},}},}},[null],[null]
GenoPro,2016  3.0.0.7,2016-01-27,<br /> (25 Person Free Trial),[null],[null],[null],[null],[null],[null],[null]
Gramps,5.1.1,2019-09-15,[null],[null],[null],[null],[null],[null],[null],[null]
Kith and Kin Pro,3.2.5,2016-08-01,<br /> (30-Day Free Trial),[null],[null],[null],[null],[null],[null],[null]
Legacy Family Tree,9.0.0.169,2017-05-02,<br /> (Standard Edition),[null],[null],[null],[null],[null],[null],[null]
LifeLines,3.1.1,2016-03-17,[null],[null],[null],[null],[null],[null],[null],[null]
MacFamilyTree,8.3.5,2018-04-24,(Free Trial  but you cannot save or export your entries),[null],[null],[null],[null],[null],[null],[null]
Personal Ancestral File,5.2.18.0,2002-07-23 (discontinued 2014),[null],[null],[null],[null],[null],[null],[null],[null]
Reunion,12.0 (build 181218),2018-12-18,(Free demo  50 person limit  no import/export  watermarked reports),[null],[null],[null],[null],[null],[null],[null]
RootsMagic,7.5.6.0,2018-04-27,<br /> (Essentials),[null],[null],[null],[null],[null],[null],[null]
The Master Genealogist,9.05.0000,2014-12-03 (Discontinued:2014-12-31),<br /> (30 Day Free Trial),[null],[null],[null],[null],[null],[null],[null]
