Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
Abc,Advanced Bitonal Compression,LEAD Technologies,[null],.abc,[null],Bitonal document and check images.<ref></ref>,[null]
ADRG,ARC Digitized Raster Graphics,[null],[null],.adrg,[null],[null],[null]
AdobeResource,[null],Adobe Systems,TIFF?,[null],[null],[null],[null]
ADRI,ARC Digitized Raster Images,[null],[null],.adri,[null],[null],[null]
AF Design,Affinity Designer,Serif Europe,[null],.afdesign,[null],Vector graphics document for Affinity Designer. Can also be opened by Affinity Photo.,[null]
AF Photo,Affinity Photo,Serif Europe,[null],.afphoto,[null],Raster graphics document for Affinity Photo. Can also be opened by Affinity Designer.,[null]
AI,Adobe Illustrator Document,Adobe Systems,[null],.ai,application/illustrator  application/postscript,Adobe Illustrator files are editable using programs that support the format  such as Adobe Illustrator  Inkscape  CorelDRAW  etc.,[null]
Alias Pix image,[null],[null],[null],.pix  .matte  .mask <br />.alpha  .als,[null],Supported by GIMP,[null]
AMI,[null],[null],[null],.ami,[null],Supported by Amica Paint,[null]
ANI,ANI file format,Microsoft,RIFF,.ani,[null],Used by Microsoft Windows,[null]
ANIM,[null],Electronic Arts and Commodore Amiga,IFF,.iff  .anim,video/x-anim,[null],[null]
APNG,Animated Portable Network Graphics,Mozilla,PNG,.png,image/png,1.9 and Opera,[null]
Apple Icon Image,[null],Apple Inc.,[null],.icns,[null],Used by macOS,[null]
APX,[null],[null],[null],.apx,[null],Supported by Ebuyer Photo Paint,[null]
ART,[null],AOL,[null],.art,[null],[null],[null]
ART,PFS: 1st Publisher clip art,[null],[null],.art,[null],[null],[null]
ARTB,Artboard file format,Mapdiva  LLC,[null],.artb,[null],Vector image format; Artboard drawing files are editable using programs that support the format  such as Artboard and Ortelius,[null]
ASCII art,[null],[null],[null],.txt  .ansi  .text,text/vnd.ascii-art,Supported by GIMP,[null]
Authorware map,[null],Adobe Systems,[null],.aam,application/x-authorware-map,[null],[null]
Authorware seg,[null],Adobe Systems,[null],.aas,application/x-authorware-seg,[null],[null]
Authorware bin,[null],Adobe Systems,[null],.aab  .x32  .u32 <br />.vox,application/x-authorware-bin,[null],[null]
AutoCAD DXF,Drawing Interchange Format,Autodesk,[null],.dxf,image/vnd.dxf,[null],[null]
AWD,[null],[null],[null],.awd,image/awd,Used by PhotoPhilia,[null]
ARW,Sony Alpha RAW,Sony,TIFF,.arw,[null],[null],[null]
BAY,Casio RAW,Casio,[null],.bay,[null],[null],[null]
BigTIFF,[null],[null],TIFF,.btf  .tiff  .tif,image/tiff,[null],[null]
BMP,raw-data unencoded or encoded bitmap,simple colour image format  far older than Microsoft; some .bmp encoding formats developed/owned by Microsoft,[null],.bmp  .dib  .rle <br />.2bp (2bpp),image/x-bmp,Used by many 2D applications.,[null]
bmp compressor,Bit Map Compressor,[null],[null],.hpc,[null],[null],[null]
BLEND,resource archive (3D meshes  textures  auxiliary data),[null],[null],.blend,[null],native data package format of Blender,[null]
BPG,Better Portable Graphics,Fabrice Bellard,HEVC,.bpg,[null],Suggestion to replace JPEG  JavaScript decoder available<ref></ref>,[null]
BRK,Brooktrout Fax,[null],[null],.brk,[null],[null],[null]
BSAVE,BSAVE Image,[null],[null],.BSV,[null],Used by IBM PC.,[null]
CAM,Casio CAM,Casio,JPEG,.cam,[null],[null],[null]
CADRG,Compressed ARC Digitized Raster Graphics,[null],[null],.cadrg,[null],[null],[null]
CAL,CALS raster file format,[null],[null],.cal  .cals  .ras  .dcl,[null],[null],[null]
Capture One RAW,[null],Phase One,[null],.cap,[null],[null],[null]
CIFF,Camera Image File Format,Canon,[null],.crw  .ciff,[null],[null],[null]
CR2,Canon RAW 2,Canon,TIFF,.cr2,[null],[null],[null]
CDR,CorelDRAW Document,Corel Corporation,[null],.cdr  .ccx  .cdt  .cmx,application/coreldraw,CorelDRAW files are editable using programs that support the format  such as CorelDRAW  Adobe Illustrator  Inkscape  etc.,[null]
CGM,Computer Graphics Metafile,[null],[null],.cgm,image/cgm,CGM files are editable using programs that support the format  such as IBM Lotus Freelance Graphics  Inkscape  etc.,[null]
CIN,Cineon,[null],[null],.cin,image/cineon,[null],[null]
Corel Paint Shop Pro Pattern,[null],[null],[null],.pat,[null],Supported by Corel Paint Shop Pro,[null]
CPC,Cartesian Perceptual Compression,Cartesian Products  Inc.,[null],.cpc  .cpi,image/cpi,Highly compressed raster imaging format.,[null]
CPKT,APP5-CPKT Format,[null],JPEG,.jpg  .jpe  .jpeg,image/jpeg,Used by PROSERPINE.,[null]
CPT,Corel Photo-Paint Image,[null],[null],.cpt,[null],Variant of TIFF up to and including version 6.0; proprietary as of 7.0 (1997),[null]
Crack Art,[null],Detlef Röttger & Jan Borchers,[null],.ca1  .ca2  .ca3,[null],An application on Atari ST,[null]
CUT,[null],[null],[null],.cut,[null],Used by DSHELL.,[null]
CMYK,[null],[null],[null],.cmyk,[null],[null],[null]
CMYKA,[null],[null],[null],.cmyka,[null],[null],[null]
DCS,Kodak DCS Pro RAW,Kodak,[null],.dcs,[null],[null],[null]
DCR,Digital Camera Raw,Kodak,TIFF,.dcr,[null],[null],[null]
DDS,DirectDraw Surface,Microsoft,[null],.dds,[null],[null],[null]
Degas,Design & Entertainment Graphic Arts System,Integral Solutions,[null],.pi1  .pi2  .pi3 <br />.pc1  .pc2  .pc3,[null],An application on Atari ST,[null]
DNG,Digital Negative,Adobe Systems,Compatible with ISO 12234-2  TIFF/EP<ref name="DNGspecification">Adobe: DNG Specification</ref>,.dng,[null],A raw image format suitable as an archival format and as the native raw format of digital cameras<ref name="DNGintromanufacturers">Adobe: Introducing the Digital Negative Specification: Information for manufacturers</ref>,No: no known intellectual property encumbrances or license requirements<ref name="CinemaDNGnoencumbrance">Adobe Labs: CinemaDNG (last bullet point)</ref>
DIA,Dia Drawing,[null],XML,.dia,[null],Used by Dia,[null]
DICOM,Digital Imaging and Communications in Medicine,National Electrical Manufacturers Association,[null],.dcm  .dicom,application/dicom<ref name="rfc3240">RFC 3240</ref>,Numerous biomedical imaging applications<ref name="rfc3240" /> (e.g. OsiriX  XMedCon)  some general bitmap graphics applications (e.g. GIMP  Photoshop),[null]
DjVu,DjVu,AT&T Research,[null],.djvu  .djv,image/vnd.djvu,[null],[null]
Doodle,[null],[null],[null],.doo,[null],An application on Atari ST,[null]
DPX,Digital Picture eXchange file format,[null],[null],.dpx,image/dpx,[null],[null]
DRF,Kodak Pro Back RAW,Kodak,[null],.drf,[null],[null],[null]
Dr. Halo,[null],[null],[null],.cut,[null],[null],[null]
Encapsulated PostScript,page description/scripting language (see PostScript),Adobe,[null],.epi  .eps  .eps2 <br />.eps3  .epsf  .epsi <br />.ept,application/postscript,printing/publishing industry standard format,[null]
ECW,Enhanced Compressed Wavelet,ERDAS,[null],.ecw,[null],Wavelet image format used primarily with geo-referenced aerial and satellite imagery,[null]
EDG,EDGE2 Original Format,TAKABO,[null],.edg,[null],Used by EDGE2,[null]
EGI,Exclusive Graphics Format,[null],[null],.egi,[null],[null],[null]
EMF,Enhanced Metafile Format,Microsoft,[null],.emf  .emz,[null],Microsoft Office,[null]
EMF+,Enhanced Metafile Format Plus Extensions,Microsoft,[null],.emf  .emz,[null],[null],[null]
ERF,EPSON RAW,EPSON,TIFF,.erf,[null],[null],[null]
ERI,Entis Rasterized Image format,[null],[null],.eri,[null],[null],[null]
Exif,Exchangeable Image File Format,[null],[null],.exif,[null],[null],[null]
EVA,Extended Vector Animation,Sharp Corporation,[null],.eva,application/x-eva,[null],[null]
EXR,OpenEXR,ILM,[null],.exr,image/exr,Used in film effects for 3d rendering and hdr images.,[null]
Farbfeld,[null],Laslo Hunhold,[null],.ff,[null],Very simple lossless bitmap format used for image processing.,[null]
FIF,Fractal Image Format,[null],[null],.fif,[null],[null],[null]
FIG,FIG format,[null],[null],.fig,application/x-xfig,Supported by Xfig,[null]
FITS,Flexible Image Transport System,[null],[null],.fit  .fits,[null],Scientific (esp. astronomical) data acquisition,[null]
FLA,Flash Source File,[null],[null],.fla,[null],[null],[null]
FLIC,[null],Autodesk,[null],.fli  .flc  .flx  .flh  .flt,[null],Supported by GIMP,[null]
FLIF,Free Lossless Image Format,[null],[null],.flif  .flf,[null],General-purpose lossless image compression  superior compression.,[null]
Kivio Document,[null],[null],.flw,[null],Supported by Kivio,[null],[added]
FPX,FlashPix (1.0.2),[null],[null],.fpx,image/vnd.fpx,[null],[null]
FreeHand,[null],Adobe Systems,[null],.fh4  .fh5  .fh7 <br />.fh8  .fhc  .fh,image/x-freehand,[null],[null]
FutureSplash,[null],Adobe Systems,[null],.spl,application/futuresplash,[null],[null]
FXT,[null],3DFX,[null],.fxt,[null],[null],[null]
GEGL composition,[null],[null],XML,.xml,application/xml,Used by GEGL,[null]
Gerber Format,The Gerber Format Specification<ref>The Gerber Format Specification  downloadable at http://www.ucamco.com</ref>,Ucamco,Printable ASCII,.gbr,application/vnd.gerber,Printed Circuit Board or PCB software,[null]
GIF,Graphics Interchange Format,CompuServe <br />Unisys (compression algorithm),[null],.gif  .gfa  .giff,image/gif,Supported by most web browsers. Supports transparency and animation.,Expired
GIMP brush,[null],The GIMP Team,[null],.gbr,[null],Supported by GIMP,[null]
GIMP compressed XJT image,[null],The GIMP Team,JPEG  tar,.xjt <br />.xjtgz (compressed) <br />.xjtbz2 (compressed),None. Lossy format  not suitable for editing,Supported by GIMP,[null]
GIH,Gimp image hose,The GIMP Team,[null],.gih,[null],Supported by GIMP,[null]
GIMP patterns,[null],The GIMP Team,[null],.pat,[null],Supported by GIMP,[null]
GRA,[null],[null],[null],.gra,[null],Used by QSV and QLD.,[null]
G3 Fax,[null],[null],[null],.g3,[null],Supported by GIMP,[null]
Hasselblad 3FR RAW,[null],[null],TIFF,.3fr,[null],[null],[null]
Hasselblad/Imacon FFF,[null],[null],[null],.fff,[null],[null],[null]
HEIF,High Efficiency Image Format,Motion Pictures Expert Group (MPEG),[null],.heif  .heic,image/heif  image/heic  image/heic-sequence  image/heif-sequence,[null],[null]
HDRi,[null],[null],TIFF,.tif  .tiff,image/tiff,[null],[null]
HG,Hyper Graphic Press,[null],[null],.hg,[null],Supported by some old Japanese applications.,[null]
ICER,[null],NASA Mars Rovers,[null],[null],[null],[null],[null]
IIQ RAW,Intelligent Image Quality RAW,Phase One,[null],.iiq,[null],[null],[null]
IMA,.ima,.ima team,[null],.ima,[null],Format for photographic images with HDR encoding.,[null]
IMG (GEM Paint),[null],[null],[null],.img,[null],Supported by GEM Paint,[null]
IMG (ERDAS IMAGINE),ERDAS IMAGINE,ERDAS,Hierarchical File Architecture (HFA),.img,[null],Image format used primarily with geo-referenced imagery  thematic grid data  and elevation grid data.,[null]
im4,[null],Masahide Hirabayashi,[null],.im4,[null],[null],[null]
Inkscape SVG,[null],The Inkscape Team,SVG,.svg  .svgz,image/svg+xml,Used by Inkscape,[null]
ICO,ICO file format,Microsoft,[null],.ico  .cur,image/vnd.Microsoft.icon  image/x-icon,Used by Microsoft Windows and web browsers as favicon,[null]
ICS,Image Cytometry Standard,[null],[null],.ics  .ids,[null],[null],[null]
IGES,Initial Graphics Exchange Specification,[null],[null],.igs,image/iges,CAD/CAM interoperability,[null]
ILBM,InterLeaved BitMap,Electronic Arts and Commodore Amiga,IFF,.iff  .ilbm  .lbm,image/x-ilbm,Planar graphics format designed for Amiga graphics hardware.,[null]
IPTC/NAA,IPTC/NAA,[null],TIFF,[null],[null],[null],[null]
JBIG,[null],Joint Bi-level Image Experts Group,[null],.jbig  .bie  .jbg,[null],[null],[null]
JBIG2,[null],Joint Bi-level Image Experts Group,[null],[null],[null],[null],[null]
