[null],Manufacturer,First public release date,Product line,Launch price (USD),Units sold
Atari Lynx,Atari,<ref name="gamepro" />,Atari Lynx,$<ref name="gamepro" />,[null]
Atari Lynx II,Atari,[null],Atari Lynx,$,<ref name="gamepro" />
Dingoo A320,Dingoo Digital Technology,[null],Dingoo,$,[null]
Epoch Game Pocket Computer,Epoch Co.,[null],Epoch Game Pocket Computer,[null],[null]
Gamate,Bit Corporation,[null],Gamate,[null],[null]
GameKing,Timetop,[null],GameKing,$–20 (depending on retailer's subsidies and special offers),[null]
GameKing II,Timetop,[null],GameKing,$–30 (depending on retailer's subsidies and special offers),[null]
Game Boy,Nintendo,[null],Game Boy line,$ <ref name="used" />,[null]
Game Boy Advance,Nintendo,[null],Game Boy line,$,<ref name="earnings release Q4 2007" />
Game Boy Advance SP,Nintendo,[null],Game Boy line,$,<ref name="earnings release Q4 2007" />
Game Boy Advance SP (backlit model),Nintendo,[null],Game Boy line,$,[null]
Game Boy Color,Nintendo,[null],Game Boy line,$<ref name="used"></ref>,[null]
Game Boy Light,Nintendo,(Japan only),Game Boy line,[null],[null]
Game Boy Micro,Nintendo,[null],Game Boy line,$,<ref name="gamepro" />
Game Boy Pocket,Nintendo,[null],Game Boy line,$<ref name="used"/>,[null]
Game.com,Tiger Electronics,<ref name="gamepro" />,Game.com,$–69<ref>Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,<ref name="gamepro" />
GCW Zero,Game Consoles Worldwide,[null],GCW,$,[null]
Gizmondo,Tiger Telematics,<ref name="gamepro" />,Gizmondo,$–400 (depending on advertising subsidies)<ref name="gamepro" />,<ref name="gamepro" />
GP2X,GamePark Holdings,[null],GP2X,$,<ref name="gp2x sales">Mrozek  Michael (official German distributor posting as "EvilDragon". Source: http://www.planetds.de/index.php?page=artikel&artikel=pandora). Post on GP32x.com forum . August 31  2008. Accessed on: September 5  2008.</ref> (inc. GP2X F200 sales)
GP2X F200,GamePark Holdings,<ref>Martin  Joe. Gamepark GP2X F200 released at last. Bit-tech. October 30  2007. Accessed on: September 15  2008.</ref>,GP2X,$<ref name="gp2x sales" />,<ref name="gp2x sales" /> (inc. original GP2X sales)
GP2X Wiz,GamePark Holdings,[null],GP2X,$,[null]
GP2X Caanoo,GamePark Holdings,<ref></ref>,GP2X,$,[null]
GP32,Game Park,[null],GP32,$,<ref name="clockerz">GP2X Q&A  With Craig Rothwell. Clockerz. Retrieved March 24  2008.</ref>
GPD Win,GamePad Digital,[null],GPD Win,$–400<ref></ref>,[added]
GPD Win 2,GamePad Digital,[null],GPD Win,$-899 (pre-order  and tentative release prices),[added]
GPD XD,Gamepad Digital,[null],GPD XD,$,[added]
GPD XD Plus,Gamepad Digital,[null],GPD XD,$,[added]
Mega Duck/Cougar Boy,Creatonic  Videojet  and Timlex,[null],Mega Duck/Cougar Boy,$,[null]
Microvision,Milton Bradley Company,[null],Microvision,$,[null]
Mi2,Planet interactive,[null],Pocket Dream Console,€,[null]
Neo Geo Pocket,SNK Playmore,<ref name="gamepro" />,Neo Geo,$<ref name="gamepro" /><ref name="Neo-Geo"/>,[null]
Neo Geo Pocket Color,SNK Playmore,<ref name="gamepro" />,Neo Geo,$<ref name="Neo-Geo">Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,[null]
Neo Geo X,SNK Playmore,<ref name="gamepro" />,Neo Geo,$,[null]
Nintendo DS,Nintendo,[null],Nintendo DS,$,<ref name="earnings release Q4 2007" />
Nintendo DS Lite,Nintendo,[null],Nintendo DS,$,<ref name="earnings release Q4 2007"></ref>
Nintendo DSi,Nintendo,<ref></ref>,Nintendo DS,$<ref></ref>,<ref></ref>
Nintendo 3DS,Nintendo,<ref></ref>,Nintendo DS,$<ref></ref>,(as of June 2018)<ref name="Recent Nintendo sales" />
Nintendo Switch,Nintendo,[null],Nintendo Switch,$,(as of February 2019)<ref name="Recent Nintendo sales"></ref>
Nintendo 2DS,Nintendo,[null],Nintendo DS,$,[null]
Nintendo 2DS XL,Nintendo,[null],Nintendo DS,[null],[null]
N-Gage,Nokia,[null],N-Gage,$<ref name="gamepro" />,<ref name="gamepro" />
N-Gage QD,Nokia,[null],N-Gage,$–245 (depending on cell provider subsidies),[null]
Pandora,OpenPandora,[null],Pandora,$<ref></ref> (1st and 2nd batch)<br />Rebirth edition: €370 (€440 incl. VAT),<ref></ref>
