[null],GUI,Console,Software license,Latest stable version,Latest release date,Windows,Macintosh,Linux
beye,[null],[null],[null],6.1.0,[null],[null],[null],[null]
bvi,[null],[null],[null],1.4.0,[null],DOS  Win95 and up,[null],[null]
Cheat Engine,[null],[null],[null],6.8.1,[null],[null],, ver. 6.2,[null]
GNU Emacs,[null],[null],[null],26.2<ref></ref>,[null],[null],[null],[null]
FlexHex,[null],[null],(free for non-commercial use),2.7,[null],Windows XP and up,[null],[null]
Frhed (Free Hex Editor),[null],[null],[null],1.7.1,[null],Win98 and up,[null],[null]
Hiew,[null],[null],[null],8.68,[null],[null],[null],[null]
HxD,[null],[null],(Freeware),2.2.1.0,[null],Win95  WinNT4 and up,[null],[null]
VEDIT,[null],[null],[null],6.24.2,[null],[null],[null],[null]
UltraEdit,[null],[null],[null],26.10 (Windows) <br /> 18.0 (Linux / Mac OS X),<br />,[null],[null],[null]
WinHex,[null],[null],[null],19.7,[null],Win95 and up,[null],[null]
vim,[null],[null],[null],8.1.0000,[null],[null],[null],[null]
