Product,Free,License
Apabi Reader,Yes,[null]
Blio,Partial (voices cost),[null]
Bluefire Reader,Yes,Proprietary
DL Reader,Yes,[null]
eBookMobi,No,[null]
Ebook Reader,Yes,Proprietary
i2Reader,No,[null]
iBooks,Yes,Proprietary
Kindle,Yes,[null]
Kobo Reading App,Yes,[null]
KyBook / KyBook 2,Yes,Proprietary  partially OS
MapleRead,Partial (CX edition is free),[null]
Marvin,Partial (ability to see more than one book in library cost),[null]
MegaReader,No,[null]
ShuBook,Partial,[null]
Stanza,Yes,Proprietary
uBooks XL,Partial Adware,[null]
iBouquiniste,No,[null]
