Function,FalconStor,FreeNAS,Microsoft Windows Storage Server<ref> </ref>,Open-E <ref> </ref>,Openfiler
Continuous Data Protection (CDP),[null],[null],[null],[null],[null]
Snapshot,[null],[null],[null],[null],[null]
Mirroring and Replication,[null],[null],[null],[null],[null]
Thin Provisioning,[null],[null],[null],[null],[null]
I/O caching,[null],[null],[null],[null],[null]
Challenge Handshake Authentication Protocol (CHAP),[null],[null],[null],[null],[null]
Multi-user mutual CHAP authorization,[null],[null],[null],[null],[null]
IPsec tunnelling,[null],[null],[null],[null],[null]
Software RAID,[null],[null],[null],[null],[null]
Virtual Optical Drive,[null],[null],[null],[null],[null]
Virtual tape library,[null],[null],[null],[null],[null]
Microsoft Management Console support,[null],[null],[null],[null],[null]
PerfMon support,[null],[null],[null],[null],[null]
High availability support,[null],[null],[null],, but unstable <ref> </ref>,[null]
VHD support,[null],-CHAP,[null],[null],[null]
Dynamically expanding file support,[null],[null],[null],[null],[null]
Virtual Burner support,[null],[null],[null],[null],[null]
EventViewer support,[null],[null],[null],[null],[null]
MPIO,[null],[null],[null],[null],[null]
Windows Volume Snapshot Service,[null],[null],[null],[null],[null]
VMware integration toolkit,[null],[null],[null],[null],[null]
Remote management,[null],[null],[null],[null],[null]
Unlimited Network Interface Controller Support,[null],[null],[null],[null],(Old v:1)
Storage unlimited,64 TB,[null],[null],4/8/16 (more need additional license),[null]
