Name,Windows,macOS,Linux,BSD
ACDSee,[null],[null],[null],[null]
Adobe Bridge,[null],[null],[null],[null]
Adobe Photoshop Lightroom,[null],[null],[null],[null]
Aperture,[null],[null],[null],[null]
CDisplay,[null],[null],[null],[null]
Comix,[null],[null],[null],[null]
digiKam,[null],[null],[null],[null]
Eye of GNOME (aka Image Viewer),[null],[null],[null],[null]
FastPictureViewer,[null],[null],[null],[null]
FastStone Image Viewer,[null],[null],[null],[null]
F-Spot,[null],[null],[null],[null]
Geeqie,[null],[null],[null],[null]
Gonvisor,[null],[null],[null],[null]
GraphicConverter,[null],[null],[null],[null]
gThumb,[null],[null],[null],[null]
Gwenview,[null],[null],[null],[null]
iPhoto,[null],[null],[null],[null]
IrfanView,[null],[null],[null],[null]
KSquirrel,[null],[null],[null],[null]
KPhotoAlbum,[null],[null],[null],[null]
Lphoto,[null],[null],[null],[null]
Microsoft Photos,[null],[null],[null],[null]
Phase One Media Pro,[null],[null],[null],[null]
Paint.NET,[null],[null],[null],[null]
Apple Photos,[null],[null],[null],[null]
Picasa,[null],[null],[null],[null]
Preview,[null],[null],[null],[null]
Shotwell,[null],[null],[null],[null]
Simple Comic,[null],[null],[null],[null]
STDU Viewer,[null],[null],[null],[null]
Windows Photo Gallery,[null],[null],[null],[null]
Windows Photo Viewer,[null],[null],[null],[null]
XnView,[null],[null],[null],[null]
XnViewMP,[null],[null],[null],[null]
Xv,[null],[null],[null],[null]
Zoner Photo Studio,[null],[null],[null],[null]
