Protocol,Creator,First public release date,License,Identity (not inc. alias),Asynchronous message relaying,Transport Layer Security,End-to-end encryption,Unlimited number of contacts,Bulletins to all contacts,One-to-many routing 4,Spam protection,Group  channel or conference support,Audio/VoIP support,Webcam/Video,Batch file sharing,Media synchronisation,Serverless 6 (decentralized),Protocol
Bitmessage,Jonathan Warren,2012 Nov,[null],Alphanumeric address,[null],[null],[null],[null],[null],[null],(through proof-of-work),[null],[null],[null],[null],[null],[null],Bitmessage
Bonjour,Apple Inc.,2002 August,Proprietary Freeware; portions under the Apache license,Username,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Bonjour
Briar,Briarproject.org,2018 May 9,[null],Public & Private key (via QR Codes),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Briar
Gadu-Gadu,GG Network,2000 Jul 17,Proprietary,Unique number<br />e.g. 12345678,[null],[null],[null],[null],[null],[null],5 (simple),[null],[null],[null],[null],[null],[null],Gadu-Gadu
IRC,Jarkko Oikarinen,1988 Aug,[null],Nickname!Username@hostname<br />(or "hostmask")<br />e.g. user!~usr@a.b.com1,[null],[null],[null],3,[null],[null],[null],(everyone  multiple simultaneous  any size),[null],[null],[null],[null],[null],IRC
Echo,spot-on.sf.net / goldbug.sf.net,2013,[null],Key,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Echo
Matrix,Matrix.org,2014 Sep,[null],Matrix user ID (MXID),[null],[null],[null],[null],[null],[null],(using pluggable server-side filtering modules),[null],[null],[null],[null],[null],[null],Matrix
MSNP (Windows Live Messenger  etc.),Microsoft,1999 Jul,Proprietary,Email address (Microsoft account),[null],[null],[null],Only for certified robots,[null],[null],[null],[null],[null],[null],[null],[null],[null],MSNP (Windows Live Messenger  etc.)
MTProto (Telegram),Telegram Messenger LLP,2013 Aug,[null],Phone number (e.g. +1234567890)  nickname (e.g. @example),[null],[null],[null],[null],[null],[null],, contact blocking,[null],<ref>https://telegram.org/blog/calls</ref>,[null],[null],[null],[null],MTProto (Telegram)
Mumble,Thorvald Natvig,1999 Jul,[null],Username,[null],[null],[null],Only for certified robots,[null],[null],[null],[null],[null],[null],[null],[null],[null],Mumble
OSCAR (AIM  ICQ),AOL,1997,Proprietary (Discontinued 15-Dec-2017)<ref>https://aimemories.tumblr.com/post/166091776077/aimemories</ref>,Username  Email Address or UIN<br />e.g. 12345678,[null],(Aim Pro  Aim Lite),[null],[null],[null],[null],[null],(Multiple  simultaneous),[null],[null],[null],[null],[null],OSCAR (AIM  ICQ)
RVP (Windows Messenger  etc.),Microsoft,1997 Mar,Proprietary (Discontinued),Windows Active Directory Login,[null],[null],[null],[null],[null],[null],ne,[null],[null],[null],[null],[null],[null],RVP (Windows Messenger  etc.)
Ricochet,Invisible.im,2014 Mar,[null],Tor onion address,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Ricochet
Jami (based on DHT and SIP),Savoir-faire Linux Inc.,2015 May,[null],40-digit address,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Jami (based on DHT and SIP)
Signal Protocol,Signal Messenger,2014 Feb<ref></ref>,[null],Phone number (e.g. +1234567890),[null],[null],[null],[null],[null],[null],, contact blocking,[null],[null],[null],[null],[null],[null],Signal Protocol
SIP/SIMPLE,IETF,1996,[null],user@hostname,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Depends on implemenation,SIP/SIMPLE
Skype,Skype,2003 Aug,Proprietary,Username,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Skype
Steam Friends,Valve,2003 Sep 12,Proprietary,SteamID/Username or Unique Number,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Steam Friends
TOC2,AOL,2005 Sep,Proprietary (Discontinued),Username or UIN<br />e.g. 12345678,[null],[null],[null],[null],[null],[null],[null],paying members only,[null],[null],[null],[null],[null],TOC2
TOX (based on DHT),irungentoo (github user),2013 June,[null],Public & Private key,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],TOX (based on DHT)
Tuenti,Tuenti,2006,Proprietary,Username,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Tuenti
Windows Messenger service,Microsoft,1990,Proprietary (Discontinued),NetBIOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Windows Messenger service
XMPP/Jingle (Google Talk),Jeremie Miller  standardized via IETF,1999 Jan,[null],Jabber ID (JID)<br />e.g. usr@a.b.c/home2,[null],[null],[null],[null],<ref>http://xmpp.org/extensions/xep-0033.html</ref>,<ref>http://xmpp.org/extensions/xep-0033.html</ref>,<ref> http://xmpp.org/rfcs/rfc6121.html#blocking http://xmpp.org/extensions/xep-0159.html http://xmpp.org/extensions/xep-0161.html </ref>,[null],[null],[null],[null],<ref></ref>,<ref></ref>,XMPP/Jingle (Google Talk)
YMSG (Yahoo! Messenger),Yahoo!,1998  March 9,Proprietary,Username,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],YMSG (Yahoo! Messenger)
Zephyr Notification Service,MIT,1987,[null],Kerberos principal<br />e.g. user@ATHENA.MIT.EDU,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Zephyr Notification Service
SMS/MMS/EMS/Call,Friedhelm Hillebrand,1985,Proprietary,Phone number (e.g. +1234567890),[null],[null],[null],About 250 contacts in SIM  unlimited from phone.,[null],serial messages,[null],[null],[null],[null],[null],[null],[null],SMS
Protocol,Creator,First public release date,License,Identity (not inc. alias),Asynchronous message relaying,Transport Layer Security,End-to-end encryption,Unlimited number of contacts,Bulletins to all contacts,One-to-many routing 4,Spam protection,Group  channel or conference support,Audio/VoIP support,Webcam/Video,Batch file sharing,Media synchronisation,Serverless 6 (decentralized),Protocol
