IDE,License,Written in Java only,Windows,Linux,macOS,Other platforms,GUI builder
BlueJ,[null],[null],[null],[null],[null],Solaris,[null]
DrJava,[null],[null],[null],[null],[null],Solaris,[null]
Eclipse JDT,[null],<ref></ref>,[null],[null],[null],FreeBSD  JVM  Solaris,[null]
Geany,[null],[null],[null],[null],[null],FreeBSD  AIX  OpenBSD  Solaris  other Unix,[null]
Greenfoot,[null],[null],[null],[null],[null],Solaris,[null]
IntelliJ IDEA,, Ultimate Edition: proprietary,[null],[null],[null],[null],FreeBSD  OpenBSD  Solaris,[null]
JBuilder,[null],[null],[null],[null],[null],Solaris,[null]
JCreator,[null],[null],[null],[null],[null],[null],[null]
JDeveloper,(freeware),[null],[null],[null],[null],generic JVM,[null]
jGRASP,(freeware),[null],[null],[null],[null],[null],[null]
MyEclipse,[null],[null],[null],[null],[null],FreeBSD  JVM  Solaris,[null]
NetBeans,, GPL2,[null],[null],[null],[null],OpenBSD  Solaris,[null]
Rational Application Developer,[null],[null],[null],[null],[null],AIX  Solaris,[null]
Servoy,[null],[null],[null],[null],[null],Solaris,[null]
SlickEdit,[null],[null],[null],[null],[null],Solaris  Solaris SPARC  AIX  HP-UX,[null]
Understand,[null],[null],[null],[null],[null],Solaris,[null]
Xcode (Apple),[null],[null],[null],[null],[null],[null],[null]
