IDE,Developer,Latest stable release,Platform,License,Written in
Anjuta,Anjuta Team,June 2013,Unix-like,[null],C
Atom,GitHub,[null],Cross-platform,[null],JavaScript
Brackets,Adobe,September 2017,Cross-platform,[null],JavaScript  HTML  CSS
Aptana Studio,Aptana  Inc.,December 2013,Cross-platform,[null],Java  JavaScript
Codeanywhere,Codeanywhere  Inc.,August 2015,Cloud IDE,[null],JavaScript
CodeLite,CodeLite,October 2015,Cross-platform,[null],C++
Eclipse Web Tools,IBM,[null],Windows  Linux  macOS  FreeBSD  JVM  Solaris,[null],C  Java
Komodo IDE / Edit,ActiveState,November 19  2013,Cross-platform,[null],C  C++  JavaScript  Perl  Python  Tcl  XUL
NetBeans,Oracle,9.0 / <ref></ref>,Cross-platform,, GPL2,Java
Nodeclipse NTS,Nodeclipse,March 31  2014,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[null],Java
NuSphere PhpED,NuSphere,June 2011,Windows,[null],N/A
Oracle JDeveloper,Oracle Corporation,July 2013,Windows  Linux  macOS,– free<ref>oracle.com</ref>,Java
Servoy,Servoy Developer Team,June 2011,Cross-platform,[null],Java
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  Solaris  AIX  HP-UX,[null],C++
Visual Studio,Microsoft,March 31  2016<ref></ref>,Windows,[null],C++  C#
Visual Studio Code,Microsoft,[null],Cross-platform,[null],JavaScript
WebStorm,JetBrains,2019.1/ 25 March 2019<ref></ref>,Cross-platform,[null],Java
