IDE,Developer,Latest stable release,Platform,License,Autocomplete,Debugger,Refactoring support,VCS Support
Adobe Dreamweaver,Adobe Systems,-,Cross-platform,[null],[null],[null],[null],[null]
Aptana Studio,Aptana  Inc.,December 2013  3.5.0,Cross-platform,[null],[null],[null],[null],[null]
CodeLite,CodeLite,October 2015  9.0,Cross-platform,[null],[null],[null],[null],[null]
Codelobster,Codelobster,March 2018  5.14.5,Windows,[null],[null],[null],[null],[null]
Eclipse Che,Eclipse Foundation / Zend,4.7 / September 2  2016,Cross-platform,[null],[null],[null],[null],[null]
Eclipse PDT,Eclipse Foundation / Zend,7.0 / December 18  2019,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[null],[null],[null],[null],[null]
Geany,Geany Team,1.27 / March 13  2016,Windows  Linux  macOS  FreeBSD  AIX  OpenBSD  Solaris  other Unix,[null],[null],[null],[null],[null]
HTML-Kit,Chami.com,292,Windows (all),[null],[null],[null],[null],[null]
HyperEdit,Jonathan Deutsch / Tumult,1.6 / April 30  2008,macOS,[null],[null],[null],[null],[null]
KDevelop,KDE KDevelop Team,[null],Cross-platform,[null],[null],[null],[null],[null]
Komodo IDE / Edit,ActiveState,10.0.1 (June 2016),Cross-platform,[null],[null],[null],[null],[null]
NetBeans,Sun Microsystems / Oracle,9.0 / <ref></ref>,Cross-platform on Netbeans,[null],[null],[null],[null],[null]
PHPEclipse (Eclipse),PHPEclipse project team,1.2.2 / September 2009,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[null],[null],[null],[null],[null]
PhpED Professional,NuSphere Corporation,19.111 / May  2019,Windows,[null],[null],[null],[null],[null]
PHPEdit,WaterProof SARL,}},Windows,[null],[null],[null],[null],[null]
PhpStorm (IntelliJ IDEA),JetBrains,2019.1 / 28 March 2019,Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris,[null],[null],[null],[null],[null]
Quanta Plus,KDE Web Dev Team,3.5.8 / October 16  2007,Linux,[null],[null],[null],[null],[null]
RadPHP (formerly Delphi for PHP),Embarcadero Technologies,XE2 / August 30  2011,Windows,[null],[null],[null],[null],[null]
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  AIX  HP-UX  Solaris,[null],[null],[null],[null],[null]
Zend Studio,Zend,10.6 / February 2014,Cross-platform,[null],[null],[null],[null],[null]
