IDE,Developer,Latest stable release version,Latest stable release date,Platform,Written in,Widget toolkit,License,Python2x support,Python3x support,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static program analysis,GUI based design,Class browser,Code refactoring,Version control system support,Web framework support
Anjuta,Naba Kumar,3.22,2016-09-18,Unix-like,C,GTK+,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
eric,Detlev Offenbach,19.10,2019-10-03,Linux  Microsoft Windows  macOS,[null],PyQt,[null],</ref>}},</ref>}},[null],: Qt Creator,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Geany,Team,1.36.0,2019-09-28,Windows  Linux  macOS  FreeBSD  AIX  OpenBSD  Solaris  other Unix,C,GTK+,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IDLE,Guido van Rossum et al.,3.7,2019-03-25,Cross-platform,[null],Tkinter,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Komodo IDE,ActiveState,10.2,2017-02-21,Cross-platform,[null],Mozilla platform,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
KDevelop,KDE KDevelop Team,5.4.3,2019-10-21,Cross-platform,C  C++,Qt,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MonoDevelop,Novell and the Mono community,6.1.2.44,2016-11-11,Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris,C#,Gtk#,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ninja-IDE,Team,2.3,2013-07-07,Cross-platform,[null],PyQt,[null],(Python 2.7),[null],(with wdebugger plugin),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PIDA,Team,0.6.2,2010-08-04,Cross-platform,[null],PyGTK,[null],[null],[null],(integrates with external debuggers),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PyCharm,JetBrains,2019.2.3,2019-09-25,Windows  Linux  macOS,Java,Swing,[null],[null],[null],[null],[null],[null],(full version only),(full version only),[null],PEP 8 and others,[null],[null],[null],[null],[null]
PyDev / LiClipse (plug-in for Eclipse and Aptana),Appcelerator,7.2.1,2019-04-26,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[null],SWT,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PyScripter,Kiriakos Vlahos,3.6.0,2019-01-12,Windows,Object Pascal,JVCL,[null],[null],up to v3.4,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Python Tools for Visual Studio,Microsoft,2.2.6<ref></ref>,2017-01-13,Windows,[null],Windows Forms,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PythonAnywhere,PythonAnywhere LLP,[null],[null],Web-based,[null],HTML,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SlickEdit,SlickEdit,21,October 2016,Windows  Linux  macOS  Solaris  AIX  HP-UX,C++,Qt,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SourceLair,SourceLair  Limited.,[null],[null],Web-based,[null],HTML,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Spyder,Carlos Cordoba and contributors,4.0.1,2020-01-02,Cross-platform,[null],PyQt  PySide,[null],2.7,3.5 – 3.8,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Stani's Python Editor,Stani Michiels,0.8.4h,2008-02-14,Cross-platform,[null],wxPython,[null],[null],[null],(with winpdb),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Thonny,Aivar Annamaa and contributors,3.2.3,2019-11-04,Windows  Linux  macOS,[null],Tkinter,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Flask
Understand,SciTools,4.0,2015-04-01,Windows  Linux  macOS  Solaris  other Unix,[null],HTML,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Visual Studio Code,Microsoft,1.39.2,2019-10-16,Linux  Microsoft Windows  macOS,JavaScript,HTML,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Wing,Wingware,7.1.3,2019-11-14,Windows  Linux  macOS,[null],Qt5 with PyQt,[null],[null],[null],(also remote  multi-threaded  and multi-process debugging),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
