IDE,License,Windows,Linux,macOS,Developer,Other platforms,Latest stable release
Basic4android,[null],[null],[null],[null],Anywhere Software,cross-compile from Windows to Android,2018-03-20
FreeBASIC,[null],[null],[null],[null],The FreeBASIC Development Team,Windows  FreeBSD,2019-02-18
Gambas,[null],[null],[null],[null],Benoît Minisini,FreeBSD  Cygwin,2019-11-19
Microsoft Small Basic,[null],[null],[null],[null],Microsoft,[null],2015-10-01
Microsoft Visual Studio,[null],[null],[null],[null],Microsoft,[null],2017-10-19
MonoDevelop,[null],[null],[null],[null],Xamarin and the Mono community,FreeBSD  OpenBSD  Solaris,2016-01-28
PBASIC Stamp Editor,[null],[null],[null],[null],Parallax Inc,[null],2014-07-02<ref></ref>
PureBasic,[null],[null],[null],[null],Fantaisie Software,AmigaOS,2015-10-16
SharpDevelop,[null],[null],[null],[null],ICSharpCode Team,[null],2015-07-14
SlickEdit,[null],[null],[null],[null],SlickEdit,Solaris  Solaris SPARC  AIX  HP-UX,2018
Xojo,[null],[null],[null],[null],Xojo  Inc.,Web,2015-12-17
