IDE,Widget toolkit,Platform,Compilers,Open Source,Made in D,Notes
Visual Studio,Microsoft,Windows,DMD  LDC (LLVM)  GDC (GCC),[null],[null],Visual Studio extension. VisualD  wrote in D.
NetBeans,Java Swing,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana  Java,DMD  LDC (LLVM)  GDC (GCC),[null],[null],NetBeans module. NetBeans-D  under MIT License.
SlickEdit,Qt,Windows  Linux  MacOS  AIX  HP-UX  Solaris  Solaris SPARC,DMD,[null],[null],[null]
CodeLite,wxWidget,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),[null],[null],[null]
Xcode,Cocoa,macOS,DMD  GDC (GCC),[null],[null],Xcode plugin. D for Xcode  under GPL v2.
MonoDevelop,GTK#,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),[null],[null],MonoDevelop extension. Mono-D  support VisualD projects and DUB  Can be installed on Xamarin Studio too  under Apache License.
KDevelop,Qt,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),[null],[null],[null]
Geany,GTK+,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),[null],[null],Native support.
Code::Blocks,wxWidget,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),[null],[null],Includes partial support.
Eclipse,SWT,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana  Java,DMD,[null],[null],Eclipse Plugin. DDT. Dropped.
