System,Creator,License,Implementation language(s),Back end,Launch date,Refs
Apache Bloodhound,Apache Software Foundation,[null],Python,MySQL  PostgreSQL  SQLite,2012,<ref></ref>
Assembla Tickets,Assembla,Proprietary  hosted. Available for free for open source projects,Ruby,MySQL,2008,[null]
Axosoft,Axosoft LLC,[null],C#  .NET,SQL Server,2002,[null]
Bugzilla,Mozilla Foundation,[null],Perl,MySQL  Oracle  PostgreSQL  SQLite,1998-09-19,[null]
Debbugs,Debian,[null],Perl,Flat file  Berkeley DB indexes,Between 1994 and 1999<ref group="notes">Debian's bug tracking system was in place as soon as 1994 according to Ian Jackson's Debbugs webpage. However  Debbugs  as a generic ITS engine  was only uploaded to Debian as version 1 in January 1999.</ref>,[null]
Faveo Helpdesk,Ladybird Web Solution,[null],PHP,MySQL,2015,[null]
FogBugz,Glitch,Saas,ASP on Windows  PHP on macOS  FreeBSD  and Linux,SQL Server  MySQL,2000,<ref></ref>
Fossil,D. Richard Hipp,[null],C,SQLite,2006,[null]
FusionForge,Various (open source contributors),[null],PHP,PostgreSQL,2009-02,[null]
GLPI,INDEPNET,[null],PHP,MySQL,2003-11-17,[null]
GNATS,Free Software Foundation,[null],C  Web Front-end In Perl,Text files with custom daemon/search engine,1992,[null]
HP Quality Center,Hewlett-Packard  formerly Mercury Interactive,[null],.NET (client)  Java (server),Oracle  SQL Server,1995,[null]
IBM Rational ClearQuest,Rational Software,[null],kernel: executables for several platforms; hooks: Perl and Visual Basic,IBM DB2  Oracle  SQL Server  Access  Sybase ASA,1998,[null]
IBM Rational Team Concert,Rational Software,[null],kernel: Java; API: Java,IBM DB2  Oracle  SQL Server  Apache Derby,2008,[null]
Jira,Atlassian,Proprietary. Free community licenses for open source and academic projects,Java,MySQL  PostgreSQL  Oracle  SQL Server,2002,[null]
Launchpad,Canonical Ltd.,[null],JavaScript  Python,PostgreSQL,2004-01,[null]
MantisBT,Various (open source contributors),[null],PHP,ADOdb (MySQL  PostgreSQL  SQL Server  etc.),2000,[null]
Microsoft Dynamics CRM,Microsoft,[null],.NET,Microsoft SQL Server,2003,[null]
OpenProject,OpenProject Foundation e.V.,[null],Ruby  JavaScript,MySQL  PostgreSQL  MariaDB,2010,[null]
org-mode,Carsten Dominik,[null],Emacs,Flat file,2003,[null]
OTRS,OTRS,[null],Perl  JavaScript,MySQL  PostgreSQL  Oracle  SQL Server,2002,[null]
Phabricator,Facebook,[null],PHP,[null],2010,[null]
Pivotal Tracker,Pivotal Labs,Proprietary  free version for public projects  non-profits and academic institutions,Ruby,Ruby on Rails  MySQL  Memcached,2008,[null]
Redmine,Jean-Philippe Lang,[null],Ruby,MySQL  PostgreSQL  SQLite,2006,[null]
Request Tracker,Best Practical Solutions  LLC,[null],Perl,MySQL  PostgreSQL  Oracle  SQLite,1999-10-13,[null]
Roundup,Ka-Ping Yee  Richard Jones,[null],Python,SQLite  MySQL  PostgreSQL  Berkeley DB,2001,[null]
StarTeam,originally Starbase Corporation  currently Borland,[null],C++  Java  etc.,SQL Server recommended  Oracle  DB2 supported,[null],[null]
Supportworks,Hornbill Systems,[null],C++ and PHP,SQL Server  MySQL  Oracle  Sybase,1994<ref name="HORNBILL1998"></ref>,[null]
SysAid,SysAid Technologies,[null],C#  Java,Derby  Microsoft SQL Server  MySQL  Oracle,2002,[null]
Team Foundation Server,Microsoft,[null],.NET,MS SQL Server 2005 & 2008,2005,[null]
TestTrack,Seapine Software,[null],C++  Qt4  JavaScript,Oracle  PostgreSQL  SQL Server  SQLite,1996,[null]
Trac,Edgewall Software,[null],Python,SQLite  PostgreSQL  MySQL,2006-10-01,[null]
TrackerSuite.Net,Automation Centre,[null],C#,SQL Server  SQL Server Express,2006,[null]
Tuleap,enalean,[null],php,LAMP  MySQL,2011,[null]
Twproject,Open Lab,Proprietary  some parts LGPL,Java,all relational (uses Hibernate),2003,[null]
Usersnap,Usersnap GmbH,[null],Python  JavaScript,MongoDB ,2013,[null]
Wrike,Wrike  Inc.,[null],Java,PostgreSQL,2006,[null]
YouTrack,JetBrains s.r.o.,Proprietary  stand-alone and hosted  free version  free for open source projects,Java,JavaScript and Kotlin,2009,[null]
System,Creator,License,Implementation language(s),Back end,Launch date,Refs
