[null],Creator,Language,First public release,Latest stable version,Source code availability,License,Notes
ALGLIB<ref>Bochkanov  S.  & Bystritsky  V. (2011). ALGLIB-a cross-platform numerical analysis and data processing library. ALGLIB Project. Novgorod  Russia.</ref>,ALGLIB Project,C++  C#  FreePascal  VBA,2006,3.12.0 / 08.2017,[null],GPL/commercial,General purpose numerical analysis library with C++ and C# interfaces.
ATLAS,R. Clint Whaley et al.,C,2001,3.10.3 / 07.2016,[null],BSD,Automatically tuned implementation of BLAS. Also includes LU and Cholesky decompositions.
Dlib,Davis E. King,C++,2006,19.7 / 09/2017,[null],Boost,C++ template library; binds to optimized BLAS such as the Intel MKL; Includes matrix decompositions  non-linear solvers  and machine learning tooling
GNU Scientific Library<ref>Gough  B. (2009). GNU scientific library reference manual. Network Theory Ltd..</ref>,GNU Project,C  C++,1996,2.5 / 06.2018,[null],GPL,General purpose numerical analysis library. Includes some support for linear algebra.
IMSL Numerical Libraries,Rogue Wave Software,C  Java  C#  Fortran  Python,1970,many components,[null],Proprietary,General purpose numerical analysis library.
LAPACK<ref>Anderson  E.  Bai  Z.  Bischof  C.  Blackford  S.  Dongarra  J.  Du Croz  J.  ... & Sorensen  D. (1999). LAPACK Users' guide. SIAM.</ref><ref>Anderson  E.  Bai  Z.  Dongarra  J.  Greenbaum  A.  McKenney  A.  Du Croz  J.  ... & Sorensen  D. (1990  November). LAPACK: A portable linear algebra library for high-performance computers. In Proceedings of the 1990 ACM/IEEE conference on Supercomputing (pp. 2–11). IEEE Computer Society Press.</ref>,[null],Fortran,1992,3.7.0 / 12.2016,[null],3-clause BSD,Numerical linear algebra library with long history
MKL,Intel,C++  Fortran,2003,2017 update 2 / 09.2016,[null],Intel Simplified Software License,Numerical analysis library optimized for Intel CPUs
Math.NET Numerics,C. Rüegg  M. Cuda  et al.,C#,2009,3.20 / 07.2017,[null],MIT License,C# numerical analysis library with linear algebra support
NAG Numerical Library,The Numerical Algorithms Group,C  Fortran,1971,many components,[null],Proprietary,General purpose numerical analysis library.
NMath,CenterSpace Software,C#,2003,4.0 / November 2009,[null],Proprietary,Math and statistical libraries for the .NET Framework
SciPy<ref>Jones  E.  Oliphant  T.  & Peterson  P. (2001). SciPy: Open source scientific tools for Python.</ref><ref>Bressert  E. (2012). SciPy and NumPy: an overview for developers. " O'Reilly Media  Inc.".</ref><ref>Blanco-Silva  F. J. (2013). Learning SciPy for numerical and scientific computing. Packt Publishing Ltd.</ref>,Enthought,Python,2001,1.0.0 / 10.2017,[null],BSD,Based on Python
Eigen,Benoît Jacob,C++,2008,3.3.7 / 12.2018,[null],MPL2,Eigen is a C++ template library for linear algebra: matrices  vectors  numerical solvers  and related algorithms.
Armadillo<ref>Sanderson  C.  & Curtin  R. (2016). Armadillo: a template-based C++ library for linear algebra. Journal of Open Source Software  1(2)  26.</ref><ref>Sanderson  C. (2010). Armadillo: An open source C++ linear algebra library for fast prototyping and computationally intensive experiments (p. 84). Technical report  NICTA.</ref>,NICTA,C++,2009,9.200 / 10.2018,[null],Apache License 2.0,C++ template library for linear algebra; includes various decompositions and factorisations; syntax (API) is similar to MATLAB.
librsb,Michele Martone,C  Fortran  M4,2011,1.2 / September 2016,[null],GPL,High-performance multi-threaded primitives for large sparse matrices. Support operations for iterative solvers: multiplication  triangular solve  scaling  matrix I/O  matrix rendering. Many variants: e.g.: symmetric  hermitian  complex  quadruple precision.
