Mail server,SMTP AUTH,POP before SMTP,APOP,Filesystem,Database,LDAP,Other
agorum core,[null],[null],[null],[null],[null],[null],PLAIN  LOGIN  CRAM-MD5<ref name="CRAMMD5Unsecured">CRAM-MD5 to Historic  20 November 2008.</ref>  NTLM
Apache James,[null],[null],[null],[null],[null],[null],PLAIN  LOGIN
Axigen,[null],[null],[null],[null],[null],[null],GSSAPI  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured">Moving DIGEST-MD5 to Historic  July 2011.</ref>  APOP  CLRTXT  LOGIN  PLAIN  LDAP  Internal
CommuniGate Pro,[null],[null],[null],[null],[null],[null],Active Directory (LDAP)  CLRTXT  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured"/>  APOP  GSSAPI  NTLM  MSN  SESSIONID  External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL
Courier Mail Server,[null],[null],[null],[null],[null],[null],Managed by Courier authentication library which can use PAM  Userdb  PostgreSQL(beta)  MySQL  LDAP  and EXTERNAL.
Cyrus IMAP,[null],[null],[null],[null],[null],[null],Supports X.509 PKI auth via STARTTLS and EXTERNAL. Uses Cyrus SASL authentication library for support for other mechanisms: Berkeley DB  GDBM  or NDBM (sasldb)  PAM  MySQL  PostgreSQL  SQLite  LDAP  Active Directory(LDAP)  DCE  Kerberos 4 and 5  proxied IMAP auth  getpwent  shadow  SIA  Courier Authdaemon  httpform  APOP and SASL mechanisms: ANONYMOUS  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured"/>  SCRAM-SHA-1(-PLUS)  SCRAM-SHA-224(-PLUS)  SCRAM-SHA-256(-PLUS)  SCRAM-SHA-384(-PLUS)  SCRAM-SHA-512(-PLUS)  EXTERNAL  GSSAPI  LOGIN  NTLM  OTP  PASSDSS  PLAIN  SRP
Dovecot,[null],[null],[null],[null],[null],[null],Submission service supports SMTP AUTH<ref name="DovecotSubmission"/>. Offers SASL to MTAs.<ref></ref><ref></ref> POP-before-SMTP via DRAC plugin. PAM  MySQL  PostgreSQL  SQLite  LDAP  Active Directory(LDAP)  Kerberos 5  proxied IMAP auth  getpwent  shadow  SIA  BSDauth  Vpopmail. APOP and SASL mechanisms: ANONYMOUS  PLAIN  LOGIN  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured"/>  SCRAM-SHA-1  EXTERNAL  GSSAPI  NTLM  OTP  SKEY  RPA.
Eudora Internet Mail Server,[null],[null],[null],[null],[null],[null],CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured"/>  PLAIN  LOGIN
Exim,[null],[null],[null],[null],[null],[null],Cyrus SASL  Dovecot SASL  GNU SASL  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  Heimdal GSSAPI  PLAIN  LOGIN  SPA
