Service,Owner,Launched,Primary service,Software license,Content license,Multilingual,Ad-free
GNU social,Open source,2010,micro-blogging,AGPLv3,CC-BY 3.0,[null],[null]
Diaspora,Open source,2010-11,social network,AGPLv3,AGPLv3,[null],[null]
Facebook,Facebook  Inc.<ref name="Growth"></ref>,2004-02,social network,proprietary,own TOS,[null],[null]
Gab,Gab AI  Inc.,2016-08,micro-blogging,proprietary,own TOS,[null],[null]
micro.blog,Riverfold Software,2017-04,micro-blogging,???,???,[null],[null]
identi.ca,Status Net  Inc.,2008-07 <ref></ref>,micro-blogging,Apache v2 (pump.io),CC-BY 3.0,[null],[null]
Tout,Tout,2010-04 <ref></ref>,micro-blogging,proprietary,own TOS,[null],[null]
Twitter,Twitter  Inc.,2006-08 <ref>Twitter - Where did the idea for Twitter come from?</ref>,micro-blogging,proprietary,own TOS,[null],[null]
Yammer,Yammer  Inc.,2008-09 <ref>- About Yammer </ref>,micro-blogging,proprietary,own TOS,[null],[null]
Mastodon,Open source,website=news.ycombinator.com|access-date=2017-02-23}}</ref>,micro-blogging,AGPLv3,own TOS,[null],[null]
Misskey,Open source,2014,micro-blogging,AGPLv3,own TOS,[null],[null]
Pleroma,Open source,2017,micro-blogging,AGPLv3,own TOS,[null],[null]
Twister,Open source,2013,micro-blogging,MIT and BSD licenses,own TOS,[null],[null]
Tumblr,Oath Inc.,2007,micro-blogging,proprietary,own TOS,[null],[null]
