Name,Vendor,License,OS,Notes
Adaptive Server Enterprise,SAP,Proprietary,Cross-platform,[null]
CUBRID,NHN Corporation,GPL/BSD,Linux  Windows,[null]
DB2,IBM,Proprietary,Cross-platform,[null]
Greenplum Database,Greenplum division of EMC Corporation,Proprietary,?,Uses PostgreSQL codebase
Informix,IBM,Proprietary,Cross-platform,[null]
Caché,InterSystems,Proprietary,Cross-platform,[null]
Microsoft SQL Server,Microsoft Corporation,Proprietary,Windows  Linux,Supports data objects in .NET languages
Oracle Database,Oracle Corporation,Proprietary,Linux  Windows  Unix,[null]
PostgreSQL,PostgreSQL Global Development Group,PostgreSQL License,Cross-platform,[null]
OpenEdge Advanced Business Language (formerly Progress 4GL),Progress Software Corporation,Proprietary,Cross-platform,[null]
Virtuoso Universal Server,OpenLink Software,GPLv2 or proprietary,Cross-platform,[null]
VMDS (Version Managed Data Store),GE Energy  a division of General Electric,Proprietary,?,GIS for public utilities; can be stored inside Oracle Database
WakandaDB,4th Dimension,AGPLv3 or proprietary,Windows  Linux  macOS,Based on REST and server-side JavaScript
XDB Enterprise Server,Micro Focus,Proprietary,DOS  Windows NT  OS/2,[null]
Zope Object Database,Zope Corporation,Zope Public License,Cross-platform,For Python  also included in Zope web application server
