Software,Platform,Availability,License,Version,Persistence Specification
Apache Cayenne,Java Virtual Machine,Open source,Apache License 2.0,3.0.2 / July 21  2011,[null]
Dapper,.NET 4.0,Open source,Apache License 2.0,1.8 NuGet,[null]
DataNucleus,Java Virtual Machine,Open source,Apache License 2,4.1.0.RELEASE / May 19  2015,JDO
DBIx::Class,Perl,Open source,Artistic License 1.0 & GPL,0.082820 / <ref></ref>,[null]
Django,Python,Open source,BSD licenses,2.1 (1 August 2018),[null]
Doctrine,PHP,Open source,MIT,2.4/April 8  2014,[null]
EclipseLink,Java Virtual Machine,Open source,Eclipse Public License Version 1.0 (EPL) and Eclipse Distribution License Version 1.0 (EDL),2.4.2 / July 4  2013,JPA 2.0
Entity Framework Core,.net core,Open Source,Apache License 2.0,2.0,[null]
Hibernate,Java Virtual Machine,Open source,GNU Lesser General Public License,4.2.5 / August 28  2013,JPA 2.0
MyBatis/iBATIS,Cross-platform,Open source,Apache License 2.0,[null],[null]
jOOQ,Java Virtual Machine,Open source,Apache License 2.0 and Proprietary License,3.2.0 / October 9  2013,[null]
Microsoft ADO.NET Entity Framework,.NET 4.5,Part of .NET 4.5,Apache License 2.0<ref></ref>,v6.0 (2014),[null]
nHibernate,.NET 4.5,Open source,GNU Lesser General Public License,4.0 (2014-08-17<ref>NHibernate</ref>),[null]
ODB,Cross-platform C++,Dual-licensed,GNU General Public License and Proprietary License,2.4.0 / February 11  2015,[null]
RedBeanPHP,PHP,Open source,BSD License,4/April 1  2014,[null]
SQLAlchemy,Python,Open source,MIT License,1.2.14 /,[null]
SQLObject,Python,Open source,LGPL,3.8.0 /,[null]
Skipper,PHP,Commercial,Proprietary software,3.0,[null]
Storm,Python,Open source,LGPL 2.1,0.20 /,[null]
TopLink,Java Virtual Machine,Commercial,Oracle License,10g,JPA
WebORB Integration Server,.NET  Java  PHP,Commercial & Open source,WebORB for .NET and WebORB for Java = Proprietary License  WebORB for PHP = Mozilla Public License,WebORB for .NET v.4.2 (Oct 2010)  WebORB for Java v.4.0 (Sep 2010)  WebORB for PHP (Sep 2008),[null]
