Office suite,Windows,Mac OS,GNU/Linux,BSD,Unix,Android,iOS
Ability Office,[null],[null],[null],[null],[null],[added],[added]
Apache OpenOffice,[null],[null],[null],[null],[null],[added],[added]
Breadbox Office,[null],[null],[null],[null],[null],[added],[added]
Calligra Suite,[null],[null],[null],[null],[null],[added],[added]
Feng Office Community Edition,[null],[null],[null],[null],[null],[added],[added]
Gobe Productive,[null],[null],[null],[null],[null],[added],[added]
Google Apps for Work,[null],[null],[null],[null],[null],[null],[null]
iWork,(iCloud version),[null],(iCloud version),(iCloud version),(iCloud version),[null],[null]
LibreOffice,[null],[null],[null],[null],[null],[null],[null]
Lotus SmartSuite,[null],[null],(with Wine),[null],[null],[added],[added]
MarinerPak,[null],[null],[null],[null],[null],[null],[null]
Microsoft Office,[null],(not all features available  e.g. Project  Visio  Access),(with Wine),[null],[null],[null],[null]
Microsoft Works,[null],(4.0; Classic only),(with Wine),[null],[null],[null],[null]
MobiSystems OfficeSuite,[null],[null],[null],[null],[null],[added],[added]
NeoOffice,[null],[null],[null],[null],[null],[null],[null]
ONLYOFFICE,[null],[null],[null],[null],[null],[null],[null]
SoftMaker Office,[null],[null],[null],(2006),[null],[null],[null]
StarOffice,[null],(Intel only),[null],[null],[null],[null],[null]
TeXmacs,[null],[null],[null],[null],[null],[added],[added]
TeamLab,[null],[null],[null],[null],[null],[added],[added]
ThinkFree Office,[null],[null],[null],[null],[null],[added],[added]
Tiki Wiki CMS Groupware,[null],[null],[null],[null],[null],[added],[added]
WordPerfect Office,[null],[null],(Ver. 2000),[null],[null],[added],[added]
WPS Office (Kingsoft Office),[null],[null],[null],[null],[null],[null],[null]
Zoho Office Suite,[null],[null],[null],[null],[null],[added],[added]
[added],[added],[added],[added],[added],[added],[added],[added]
Office suite,Windows,Mac OS,GNU/Linux,BSD,Unix,Android,iOS
