Software Name,E-mail client,HTML editor,Collaborative software,Online editing
Ability Office,[null],[null],[null],[null]
Apache OpenOffice,[null],[null],[null],With free plugins
Breadbox Office,[null],[null],[null],[null]
Calligra Suite,Kontact<ref name="os" />,Kate <ref name="os" /> Quanta+<ref name="os" />,[null],[null]
Feng Office Community Edition,beta,[null],[null],[null]
GobeProductive,[null],[null],[null],[null]
Google Apps for Work,[null],[null],[null],[null]
iWork,[null],[null],[null],[null]
LibreOffice,<ref></ref>,[null],[null],Currently via free plugins; LibreOffice Online under development.<ref></ref>
Lotus SmartSuite,[null],[null],[null],[null]
MarinerPak,[null],[null],[null],[null]
Microsoft Office,<ref name = "MSOfficeComp"></ref><ref></ref>,. Versions after Office 2000 Premium and Developer contain Microsoft FrontPage  the full-blown web page editor. Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0,(Available for separate subscription)<ref></ref>,[null]
Microsoft Works,[null],[null],[null],[null]
MobiSystems OfficeSuite,[null],[null],[null],[null]
NeoOffice,[null],[null],[null],[null]
ONLYOFFICE,[null],[null],[null],[null]
SoftMaker Office,[null],[null],[null],[null]
StarOffice,[null],[null],[null],With free plugins
TeXmacs,[null],[null],[null],[null]
[./Https://www.onlyoffice.com OnlyOffice],[null],[null],[null],[null]
ThinkFree Office,[null],[null],[null],[null]
Tiki Wiki CMS Groupware,[null],via CKEditor,[null],[null]
WordPerfect Office,<ref></ref>,[null],[null],[null]
WPS Office (Kingsoft Office),[null],[null],[null],[null]
Zoho Office Suite,[null],[null],[null],[null]
Software Name,E-mail client,HTML editor,Collaborative software,Online editing
