[null],Language,License,Mutual auth,Encrypts,Verify mode,Agent-less,Have a GUI,First release,Latest stable release
Ansible,Python,GPLv3+,<ref name="Key Pair">Key pair: uses public/private key pairs and key fingerprints for mutual authentication  like SSH.</ref>,<ref name="Secure Shell">Secure Shell: Uses the Secure Shell protocol for encryption.</ref>,[null],[null],<ref></ref>,2012-03-08,2018-12-13 2.7.5<ref name="Ansible_releases_on_PyPI"></ref><ref name="Ansible_releases_on_ansible.com"></ref><ref></ref>
Bcfg2,Python,BSD 2-clause<ref></ref>,<ref name="Certificate and Passwords">Certificate and Passwords: Uses SSL X.509 certificate and fingerprint for clients to authenticate server  and passwords for server to authenticate clients; clients should only share the same password if they are allowed access to each other's configuration data.</ref>,<ref name="SSL">SSL: Uses the Secure Sockets Layer  Transport Layer Security (TLS) for encryption.</ref>,<ref name="Verify-Bcfg2">Full support for non-modifying determination of node compliance  including nodes not previously modified by a Bcfg2 configuration pass.</ref>,[null],<ref>http://docs.bcfg2.org/reports/dynamic.html#screenshots</ref>,2004-08-11<ref name="autogenerated1"></ref>,2015-06-11 1.3.6<ref name="autogenerated1"/>
Capistrano,Ruby,MIT License,[null],<ref name="Secure Shell"/>,[null],<ref name="Secure Shell"/>,[null],2005,2017-03-08 4.4.2
cdist,Python,GPLv3+,<ref name="Key Pair"/>,<ref name="Secure Shell"/>,[null],[null],[null],2010,2018-04-20 4.8.4<ref>https://www.nico.schottelius.org/blog/cdist-4.8.4-released/</ref>
Chef,Ruby  Erlang,Apache 2.0,<ref name="RSA Shared Keys">Per request signed headers and pre-shared keys.</ref>,<ref name="SSLpayload">Payload encryption via SSL if HTTPS proxy is configured.</ref>,<ref name="Verify-Chef">Chef 10.14.0+ (called why-run mode)</ref><ref></ref>,[null],[null],2009-01-15 0.5.0,2019-01-28 14.10.9 (client) <ref></ref> 2018-02-13 12.17.33 (server)<ref></ref>
CFEngine,C<ref name="CFEngine Source Code"></ref>,GPLv3<ref></ref>,<ref name="Key Pair" />,<ref name="TLS">TLS: Uses TLS. </ref>,<ref name="Dry-run">Called dry-run  used to verify what would happen</ref><ref></ref>,[null],<ref name="CFEngine Enterprise"></ref>,1993,2019-12-18 3.15.0 <ref name="CFEngine 3.15.0 Release"></ref> 2019-12-06 3.12.3 <ref name="CFEngine 3.12.3 Release"></ref> 2019-12-06 3.10.7<ref name="CFEngine 3.10.7 Release"></ref>
ISconf,Python,GPL<ref></ref>,<ref name="HMAC">HMAC: Uses HMAC signatures on all network traffic.</ref>,<ref>Improved security which would include an encrypted  mutually authenticated  peer-to-peer message bus is tracked here .</ref>,[null],[null],[null],1998,2006-08-13 4.2.8.233
Juju,Python  Go<ref></ref>,Affero General Public License,<ref name="Key Pair"/>,<ref name="SSL" />,[null],[null],<ref></ref>,2010-09-17<ref></ref>,2019-10-30 2.7.0<ref></ref>
Local ConFiGuration system (LCFG),Perl,GPL,<ref>LCFG does not provide its own transport mechanism; it relies on an external program  most often Apache. Using Apache it should be possible to do mutual authentication in several ways; however the documentation at The Complete Guide to LCFG  Section 9.4: Authorization and Security  shows access control based on IP address ranges  implying that the client does not authenticate itself to the server via an SSL certificate; it also does not mention if the LCFG client checks the validity of the server's SSL certificate (such as via a per-site fingerprint distributed with the client  or a chain of trust to an accredited CA). It mentions that there can be a per-client password in the profile  but also states that "The contents of the LCFG profile should be considered public".</ref>,<ref>LCFG supports encrypted communications channels (SSL via Apache); however the documentation at The Complete Guide to LCFG  Section 9.4: Authorization and Security  states that "The contents of the LCFG profile should be considered public".</ref>,[null],[null],[null],1994,Weekly Releases
NOC,Python,BSD License 2.0,<ref name="Key Pair"/>,<ref name="Secure Shell"/>,[null],[null],[null],2012-03-08,2015-05-20 15.05.1<ref></ref>
